"","x"
"532100/US",6.8745e+10
"532400/US",9.3318e+10
"532A00/US",2.9462e+10
"533000/US",1.57205e+11
"541100/US",3.54709e+11
"541511/US",1.54044e+11
"541512/US",2.72384e+11
"54151A/US",4.9603e+10
"541200/US",1.71516e+11
"541300/US",3.30566e+11
"541610/US",2.52632e+11
"5416A0/US",5.3429e+10
"541700/US",2.55399e+11
"541800/US",1.2968e+11
"541400/US",3.6173e+10
"541920/US",1.2935e+10
"541940/US",4.2619e+10
"5419A0/US",8.8352e+10
"550000/US",5.68617e+11
"561300/US",3.86619e+11
"561700/US",1.95969e+11
"561100/US",6.5089e+10
"561200/US",2.9658e+10
"561400/US",8.0328e+10
"561500/US",5.9098e+10
"561600/US",6.7171e+10
"561900/US",5.5632e+10
"562000/US",1.15614e+11
"611100/US",4.8103e+10
"611A00/US",2.34376e+11
"611B00/US",7.499e+10
"621100/US",4.94661e+11
"621200/US",1.29732e+11
"621300/US",1.04475e+11
"621400/US",1.63331e+11
"621500/US",5.5074e+10
"621600/US",9.0244e+10
"621900/US",3.4817e+10
"622000/US",8.46168e+11
"623A00/US",1.88716e+11
"623B00/US",5.5163e+10
"624100/US",1.18207e+11
"624400/US",5.3044e+10
"624A00/US",5.3202e+10
"711100/US",2.7904e+10
"711200/US",5.0861e+10
"711500/US",4.6453e+10
"711A00/US",5.2789e+10
"712000/US",2.0999e+10
"713100/US",2.3968e+10
"713200/US",3.6798e+10
"713900/US",9.273e+10
"721000/US",2.82919e+11
"722110/US",3.71744e+11
"722211/US",3.40771e+11
"722A00/US",1.05015e+11
"811100/US",1.37768e+11
"811200/US",2.1461e+10
"811300/US",4.3093e+10
"811400/US",2.494e+10
"812100/US",8.098e+10
"812200/US",2.3694e+10
"812300/US",2.9399e+10
"812900/US",6.8723e+10
"813100/US",1.00428e+11
"813A00/US",5.9658e+10
"813B00/US",1.00049e+11
"814000/US",1.8684e+10
"S00500/US",6.24284e+11
"S00600/US",4.05351e+11
"491000/US",6.9732e+10
"S00101/US",1.5873e+10
"S00102/US",9.207e+09
"GSLGE/US",1.019978e+12
"GSLGH/US",3.12936e+11
"GSLGO/US",9.35981e+11
"S00201/US",1.6928e+10
"S00202/US",6.3413e+10
"S00203/US",2.73909e+11
