"","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022"
"332710/US",72.445,73.165,73.495,74.108,75.186,75.097,75.477,77.945,81.527,83.692,86.147,91.951,94.442,94.35,97.005,98.762,99.004,99.131,99.303,99.504,100,102.273,104.031,104.618,108.055,115.905
"332720/US",72.891,73.24,72.853,73.198,73.332,73.35,73.414,75.415,80.245,84.665,90.413,94.81,93.801,94.399,96.879,97.951,99.053,99.608,99.782,99.621,100,102.159,105.368,107.494,114.646,131.311
"332800/US",69.569,70.009,71.018,71.307,72.975,73.41,73.7,75.537,77.298,81.858,86.071,89.831,89.665,92.336,95.075,95.476,95.251,96.862,97.617,98.2,100,102.537,103.027,104.017,110.861,123.046
"332913/US",68.652,68.998,69.701,71.272,70.667,70.517,71.248,73.218,75.616,78.876,83.752,87.397,87.55,88.01,91.277,93.36,94.967,96.498,98.019,97.97,100,103.318,108.981,111.185,114.407,125.412
"33291A/US",55.887,56.813,57.718,58.537,59.362,59.935,60.778,63.065,67.344,72.073,76.902,80.74,83.48,84.494,88.312,91.772,93.658,95.641,96.819,98.233,100,103.138,106.488,108.374,113.728,127.929
"332991/US",64.514,65.243,65.767,66.575,66.973,67.346,67.969,69.642,73.451,76.731,80.056,84.962,88.378,89.781,92.945,95.741,97.452,98.677,99.12,99.154,100,103.298,107.574,108.859,113.211,122.222
"332996/US",55.354,54.908,53.348,54.986,55.418,55.249,55.785,66.439,73.201,77.086,75.337,80.386,86.817,90.358,95.533,99.625,100.03,101.028,100.668,99.435,100,103.969,105.211,104.913,123.618,140.447
"33299A/US",59.645,60.779,63.412,64.778,64.999,65.591,66.28,68.052,69.598,71.203,74.361,83.972,84.248,86.405,93.136,93.031,99.313,99.804,98.641,97.552,100,100.818,102.473,100.184,104.365,112.225
"332999/US",71.481,71.549,71.454,72.323,72.631,72.521,72.944,75.908,79.796,84.645,86.937,91.139,94.505,95.805,98.29,99.086,98.925,100.09,100.022,98.299,100,104.25,107.734,107.979,121.941,136.048
"333111/US",65.813,66.741,67.614,67.871,69.421,70.464,71.461,73.826,77.529,79.391,81.736,85.21,87.989,89.542,92.251,94.125,95.042,96.899,97.85,98.949,100,101.518,104.346,106.048,111.38,127.316
"333112/US",87.304,87.367,87.704,88.039,88.907,89.541,89.584,90.31,90.728,91.289,93.019,95.397,96.651,96.764,96.796,98.509,98.656,99.226,99.497,99.472,100,101.138,102.759,104.075,106.839,118.328
"333120/US",64.419,65.376,66.514,67.307,67.7,68.638,69.551,72.006,75.979,78.981,81.029,83.818,86.583,86.749,89.53,92.819,95.141,96.573,97.662,98.993,100,100.868,105.62,107.358,112.052,123.943
"333130/US",57.742,58.898,59.43,60.209,62.247,63.133,64.596,67.146,72.636,78.213,83.296,89.788,91.935,91.785,94.3,97.033,98.596,100.027,100.336,100.029,100,101.308,103.909,104.503,106.286,118.313
"333242/US",117.056,117.536,119,118.475,117.912,113.778,112.815,112.871,112.833,113.37,114.205,113.329,109.512,103.889,104.793,103.395,99.697,99.715,99.831,99.998,100,101.227,103.489,105.391,105.356,110.033
"33329A/US",71.808,72.907,73.736,74.752,75.516,75.568,76.031,78.233,80.602,82.948,85.46,88.587,90.015,90.48,92.269,93.88,95.214,96.612,97.526,98.419,100,102.032,104.108,107.389,118.305,133.172
"333314/US",88.555,89.165,88.872,89.551,90.045,89.887,88.659,89.204,91.349,92.465,92.595,95.804,96.623,95.952,97.242,99.623,99.865,99.888,99.839,99.524,100,101.109,101.852,102.76,103.606,108.144
"333316/US",133.156,120.392,116.307,113.26,111.411,105.67,103.136,100.987,99.833,97.651,98.769,99.956,101.364,101.245,103.461,105.029,105.983,107.353,105.892,100.754,100,100.804,103.175,107.702,111.863,118.891
"333318/US",71.099,71.487,72.283,72.832,73.417,74.076,74.705,76.43,79.108,81.044,83.474,86.534,88.807,89.629,90.985,92.382,94.037,96.389,97.803,98.493,100,101.511,103.593,105.196,108.769,120.369
"333414/US",63.368,63.995,64.472,65.151,65.75,66.148,67.136,69.298,72.582,74.954,77.676,82.455,85.882,86.639,88.773,91.406,92.889,94.544,96.858,98.653,100,102.698,106.116,108.193,114.615,133.461
"333415/US",69.35,70.233,70.728,70.539,70.477,70.656,70.859,71.94,75.98,78.539,82.803,86.244,86.871,86.689,89.67,91.812,93.806,95.803,97.353,98.24,100,103.641,107.97,110.067,119.557,146.754
"333413/US",67.693,68.531,69.165,70.195,71.122,71.462,72.751,74.856,79.686,82.151,84.628,88.269,88.227,88.01,90.967,92.683,93.606,96.032,98.509,98.981,100,103.575,107.636,109.746,115.959,130.147
"333511/US",100.003,100.241,100.751,101.071,98.339,96.204,93.809,92.839,95.48,97.681,97.652,97.959,97.485,97.084,97.842,98.779,99.418,99.956,100.08,99.773,100,101.103,101.643,100.005,102.603,109.939
"333514/US",84.512,85.209,86.008,87.15,88.692,88.716,88.815,89.708,91.215,91.776,92.617,94.324,93.809,93.776,96.506,97.939,99.036,99.415,99.412,99.069,100,103.275,107.135,106.133,110.239,119.854
"333517/US",74.304,76.013,76.608,77.348,77.067,75.43,75.278,76.126,78.483,82.048,83.185,85.707,87.306,87.828,89.762,92.977,96.166,97.567,98.855,99.22,100,101.039,103.318,105.317,108.239,113.98
"33351B/US",72.27,73.557,74.476,75.571,77.115,77.469,77.829,79.701,82.74,85.403,86.899,89.251,90.248,90.643,93.424,95.032,95.653,97.121,98.961,99.532,100,102.574,105.106,105.866,107.623,117.327
"333611/US",70.79,70.938,71.949,72.501,73.155,74.212,74.731,75.37,76.131,78.512,82.328,91.184,98.467,97.636,98.953,98.312,100.209,102.858,103.167,102.925,100,100.438,105.114,107.731,109.685,115.475
"333612/US",59.131,60.316,61.489,62.769,64.022,64.671,65.42,67.621,71.385,74.172,78.157,83.652,86.233,86.009,90.623,94.116,97.076,98.094,98.633,98.753,100,103.995,106.673,107.945,112.61,126.143
"333613/US",60.939,62.029,63.333,64.046,65.131,66.071,66.571,69.533,73.101,75.883,78.32,83.577,88.369,88.979,91.758,94.471,97.153,97.541,99.111,99.022,100,102.418,106.192,108.498,114.282,129.836
"333618/US",81.723,82.005,83.253,83.753,83.838,84.211,85.172,86.363,88.4,91.231,92.678,94.605,97.923,97.229,98.772,99.688,99.861,100.498,101.393,98.941,100,101.332,102.13,103.123,104.077,110.485
"333912/US",59.645,60.285,60.913,61.53,62.69,63.735,64.269,65.654,70.033,72.469,75.136,79.577,83.069,83.848,88.602,91.167,94.211,96.491,97.542,98.231,100,103.688,107.379,110.101,114.665,134.315
"333914/US",57.553,58.429,59.328,60.168,61.474,62.647,63.441,65.453,69.165,72.395,76.605,80.543,82.746,83.534,84.638,86.582,88.939,91.397,94.397,97.132,100,102.865,105.773,107.162,111.188,124.122
"333920/US",63.574,64.264,64.954,65.681,66.461,66.664,67.039,69.752,73.916,76.463,78.836,82.837,85.175,85.587,87.581,90.872,92.831,94.84,96.752,98.143,100,102.834,106.097,107.876,115.028,130.947
"333991/US",78.408,79.369,79.887,79.944,81.294,81.532,81.73,82.704,84.239,84.583,86.075,88.27,89.106,89.185,89.588,90.916,92.176,93.656,95.871,98.702,100,102.527,104.379,105.777,112.101,125.174
"333993/US",59.041,60.202,61.373,63.03,64.102,64.752,65.507,66.775,68.423,69.879,70.933,76.725,81.465,83.573,85.48,87.813,89.633,93.048,97.095,97.809,100,102.665,104.084,103.653,107.024,119.988
"333994/US",70.323,71.392,72.129,73.328,74.128,74.617,75.297,76.253,78.39,80.953,83.471,87.536,88.943,89.893,91.611,93.376,94.751,96.308,98.442,99.292,100,101.833,104.595,107.375,113.222,126.643
"33399A/US",65.661,66.405,67.414,68.242,68.852,69.718,69.865,71.758,74.123,76.686,79.805,83.598,86.237,87.346,90.689,93.38,95.415,97.364,98.242,99.658,100,102.367,105.547,106.726,112.211,123.198
"33399B/US",64.773,65.537,66.662,67.296,68.314,68.796,69.818,71.99,75.155,78.297,80.988,85.845,88.467,89.824,92.198,94.833,96.203,97.437,98.222,98.335,100,102.825,105.741,108.149,112.988,126.87
"334111/US",2162.794,1497.748,1067.724,892.014,675.534,550.994,462.41,414.206,338.4,264.381,208.77,167.287,140.886,128.27,119.263,115.382,109.512,106.599,104.553,101.099,100,100.728,98.881,98.869,101.215,107.936
"334112/US",322.582,291.508,263.512,240.12,219.456,185.077,163.178,147.319,138.438,129.353,125.505,118.096,108.457,101.26,100.993,109.244,103.76,102.231,100.079,99.595,100,99.226,98.673,100.829,102.779,107.561
"334118/US",280.84,233.785,194.657,179.98,162.3,151.315,141.7,136.415,129.089,121.548,117.573,115.393,114.077,112.498,112.259,112.45,113.379,114.662,108.981,100.25,100,99.349,94.861,93.358,93.371,95.851
"334210/US",877.541,757.123,651.557,609.046,533.681,460.247,386.996,331.468,288.223,258.894,229.715,213.793,193.425,175.711,160.994,148.236,135.758,126.203,117.864,108.473,100,92.542,87.896,86.977,86.922,88.788
"334220/US",585.751,579.45,571.689,557.306,555.308,530.328,412.318,358.585,357.661,331.307,307.804,245.673,210.41,180.339,174.725,159.96,151.763,136.927,120.911,106.301,100,93.247,87.229,83.681,80.146,79.124
"334290/US",85.214,85.902,85.431,85.362,85.907,86.344,86.751,86.955,87.309,88.559,89.192,90.635,91.316,92.264,94.351,95.642,96.729,97.824,99.177,99.049,100,100.202,100.987,102.861,107.149,116.828
"334413/US",1022.52,655.229,475.683,324.286,224.808,217.379,198.313,184.579,179.676,169.553,148.443,134.423,128.051,124.137,115.401,107.828,106.622,104.814,103.958,100.632,100,97.138,94.011,92.417,90.394,93.52
"334418/US",136.033,132.815,128.96,128.202,116.038,114.135,114.351,112.312,107.955,105.335,101.967,98.522,100.219,98.582,97.254,96.566,97.496,99.586,99.848,100.168,100,99.709,99.498,99.013,100.174,101.71
"33441A/US",84.783,84.52,84.466,86.172,86.707,86.415,85.795,86.26,86.994,89.319,91.121,92.084,92.549,92.973,94.489,96.51,97.071,97.997,99.263,99.033,100,103.425,107.001,111.05,116.264,123.958
"334510/US",178.512,176.805,173.417,168.693,166.143,165.179,158.872,147.423,143.88,139.969,136.273,133.651,130.007,126.81,122.565,119.13,115.383,108.607,106.248,102.356,100,96.48,94.092,93.734,95.244,95.769
"334511/US",78.539,79.464,79.144,78.626,77.973,78.972,80.058,81.427,82.478,83.899,85.397,86.634,87.867,88.322,89.685,91.539,93.677,94.459,95.951,96.762,100,103.724,109.48,114.452,116.464,122.623
"334512/US",82.586,82.667,82.929,83.349,83.321,83.35,83.304,84.023,85.844,87.879,90.267,91.575,92.071,92.684,94.566,95.961,97.184,96.662,96.621,98.226,100,103.631,106.325,107.307,111.987,121.272
"334513/US",67.889,68.932,69.603,70.521,71.25,71.948,73.465,75.069,76.618,78.901,82.144,84.778,87.301,88.321,91.713,93.445,94.386,96.272,97.681,98.751,100,101.715,102.741,105.511,107.503,117.087
"334514/US",68.539,65.157,65.232,67.156,67.953,68.5,70.197,71.826,73.294,74.453,77.336,79.371,81.671,82.494,85.144,89.414,92.258,94.675,96.411,97.53,100,103.291,106.638,108.243,111.423,125.053
"334515/US",89.468,88.368,87.266,87.539,87.005,87.194,86.164,85.835,86.015,86.281,86.946,89.076,91.414,92.058,93.016,95.3,97.374,98.414,99.002,98.674,100,98.893,98.216,99.38,99.496,103.397
"334516/US",77.311,77.591,77.216,78.864,80.011,81.172,82.006,83.239,84.713,86.521,87.024,88.991,90.346,90.696,91.401,91.867,92.748,94.197,95.757,97.288,100,101.317,104.123,105.483,107.658,114.467
