"","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"33441A/US",84.783,84.52,84.466,86.172,86.707,86.415,85.795,86.26,86.994,89.319,91.121,92.084,92.549,92.973,94.489,96.51,97.071,97.997,99.263,99.033,100,103.425,106.968,111.027,116.248,123.728,129.793,136.259
"334510/US",178.512,176.805,173.417,168.693,166.143,165.179,158.872,147.423,143.88,139.969,136.273,133.651,130.007,126.81,122.565,119.13,115.383,108.607,106.248,102.356,100,96.48,94.048,93.668,95.161,95.633,100.562,103.057
"334511/US",78.539,79.464,79.144,78.626,77.973,78.972,80.058,81.427,82.478,83.899,85.397,86.634,87.867,88.322,89.685,91.539,93.677,94.459,95.951,96.762,100,103.724,109.49,114.489,116.491,122.614,125.512,132.49
"334512/US",82.586,82.667,82.929,83.349,83.321,83.35,83.304,84.023,85.844,87.879,90.267,91.575,92.071,92.684,94.566,95.961,97.184,96.662,96.621,98.226,100,103.631,106.32,107.259,111.936,121.235,127.885,130.336
"334513/US",67.889,68.932,69.603,70.521,71.25,71.948,73.465,75.069,76.618,78.901,82.144,84.778,87.301,88.321,91.713,93.445,94.386,96.272,97.681,98.751,100,101.715,102.725,105.468,107.441,117.033,125.61,131.982
"334514/US",68.539,65.157,65.232,67.156,67.953,68.5,70.197,71.826,73.294,74.453,77.336,79.371,81.671,82.494,85.144,89.414,92.258,94.675,96.411,97.53,100,103.291,106.589,108.143,111.3,124.994,136.45,139.146
"334515/US",89.468,88.368,87.266,87.539,87.005,87.194,86.164,85.835,86.015,86.281,86.946,89.076,91.414,92.058,93.016,95.3,97.374,98.414,99.002,98.674,100,98.893,98.179,99.314,99.408,103.23,107.435,110.797
"334516/US",77.311,77.591,77.216,78.864,80.011,81.172,82.006,83.239,84.713,86.521,87.024,88.991,90.346,90.696,91.401,91.867,92.748,94.197,95.757,97.288,100,101.317,104.115,105.461,107.625,114.398,120.97,124.725
"334517/US",202.913,203.813,201.975,202.032,201.744,201.591,182.22,170.833,159.852,150.022,145.348,140.218,134.181,129.274,126.681,121.08,111.195,108.32,106.087,102.876,100,93.278,91.622,88.172,87.768,89.794,92.56,93.73
"33451A/US",81.16,82.11,82.982,83.986,84.685,85.369,85.707,86.722,87.77,88.833,90.283,91.335,92.338,92.407,93.414,94.806,95.418,96.509,97.528,98.574,100,101.621,103.758,105.01,106.713,116.233,125.45,129.405
"334300/US",161.894,159.294,155.513,153.624,149.519,145.705,142.268,137.04,131.864,126.292,120.923,116.017,105.2,103.17,102.581,102.212,98.739,98.958,99.44,99.737,100,99.582,100.925,103.184,107.048,116.965,120.159,122.577
"334610/US",129.43,129.321,127.692,125.752,122.134,116.349,113.242,110.253,110.022,108.575,106.34,106.94,105.016,101.303,100.55,100.389,101.11,100.666,100.38,100.192,100,100.162,101.466,103.382,104.681,112.221,116.556,123.718
"335110/US",107.361,111.667,112.137,111.744,111.642,109.841,110.003,108.054,110.248,108.925,109.826,110.884,112.186,113.34,114.856,121.802,115.856,111.9,111.394,106.796,100,103.475,93.708,80.647,82.721,88.723,94.535,97.392
"335120/US",80.025,79.927,79.719,80.234,80.247,79.981,80.227,81.399,83.523,86.311,88.867,91.687,93.361,93.173,95.542,97.294,97.517,97.775,98.874,99.065,100,103.338,109.123,111.847,117.286,127.291,132.266,135.335
"335210/US",102.609,102.591,103.003,102.123,101.031,98.935,97.12,96.538,97.766,98.512,100.385,101.027,104.548,104.061,105.057,107.802,108.6,108.489,100.958,98.953,100,101.421,105.043,105.182,108.161,120.051,123.486,123.642
"335220/US",89.762,88.384,87.774,86.78,84.664,84.41,83.311,83.16,85.825,86.938,87.848,90.662,94.786,94.344,95.351,99.503,99.503,99.627,100.131,99.773,100,102.837,107.117,108.725,114.832,128.944,132.466,132.998
"335311/US",59.97,60.36,60.99,61.961,61.502,60.498,60.474,62.299,68.763,77.838,88.162,98.527,95.621,102.129,105.773,104.951,103.818,103.865,98.708,96.747,100,105.021,107.494,108.965,126.401,165.882,175.324,180.302
"335312/US",66.746,67.179,67.288,67.694,68.03,68.151,68.432,69.778,73.129,76.826,80.575,85.047,87.705,89.819,95.797,97.852,98.705,100.154,100.249,99.15,100,102.746,105.211,106.211,111.151,129.696,138.151,143.586
"335313/US",69.195,70.691,71.904,73.043,74.974,75.873,76.188,77.877,81.503,85.067,91.085,93.978,96.033,97.335,98.695,99.256,100.123,99.632,99.302,99.397,100,102.077,105.369,107.892,115.405,136.527,147.891,158.268
"335314/US",67.553,68.155,68.878,69.166,69.976,70.531,71.265,72.635,74.908,78.501,81.299,84.725,87.397,89.845,92.364,93.979,95.926,97.088,98.477,98.695,100,101.369,103.213,105.126,108.422,122.076,130.189,136.539
"335911/US",57.954,56.228,56.158,56.295,55.753,56.657,55.738,57.582,60.077,64.645,75.636,86.752,84.521,87.681,91.934,94.355,95.411,95.283,95.413,94.705,100,106.601,106.121,105.195,110.045,124.993,129.326,129.948
"335912/US",80.961,83.691,84.213,86.632,90.787,91.306,84.329,84.554,85.803,90.574,94.21,97.506,99.385,98.91,99.535,101.712,100.888,101.831,100.831,99.386,100,104.735,109.849,110.16,112.365,123.466,129.279,129.322
"335920/US",60.535,57.749,55.449,58.866,58.192,54.839,55.307,63.797,70.293,93.24,99.188,102.404,94.887,103.245,109.593,107.854,105.706,104.539,102.051,98.76,100,102.597,103.383,102.706,127.378,146.373,147.309,149.571
"335930/US",67.82,67.678,66.696,66.661,66.955,67.287,67.078,73.978,77.53,82.455,85.46,90.174,89.712,91.969,95.807,99.121,99.95,101.304,100.78,99.254,100,102,103.616,104.985,122.789,147.853,164.205,159.993
"335991/US",81.566,81.665,77.888,75.152,72.584,66.197,66.409,70.343,77.658,83.947,84.599,93.249,110.365,99.71,97.052,105.298,102.695,97.185,96.596,89.182,100,157.589,158.542,135.806,115.147,126.233,141.234,148.812
"335999/US",87.509,87.866,88.326,88.938,89.2,89.618,89.083,89.702,91.773,95.037,96.809,97.845,98.29,99.032,99.336,100.8,98.622,98.578,97.923,97.795,100,102.149,104.575,106.969,117.423,133.049,134.515,134.883
"336111/US",98.358,96.954,96.79,97.811,97.24,95.18,95.163,96.671,96.502,94.215,93.227,95.412,96.436,95.395,96.361,97.432,96.986,97.65,99.229,99.234,100,100.462,101.102,101.139,103.914,107.475,107.967,107.52
"336112/US",89.419,87.541,88.703,88.973,87.72,85.298,85.159,85.947,84.443,81.706,82.809,83.269,86.303,87.024,87.769,90.908,92.575,94.798,97.353,98.34,100,101.107,101.004,100.493,103.905,109.067,113.2,114.828
"336120/US",63.207,63.707,65.126,66.121,66.032,67.209,68.035,69.044,71.662,74.09,77.401,79.642,83.086,85.567,87.587,89.876,91.643,93.514,95.776,97.881,100,101.834,103.052,104.165,105.492,109.615,113.231,115.087
"336211/US",68.412,69.004,69.752,70.955,72.116,72.874,73.912,76.965,81.703,85.054,87.347,90.383,92.891,93.732,95.124,96.521,96.948,97.703,98.317,98.786,100,102.214,104.758,105.17,109.495,121.686,128.685,132.731
"336212/US",64.38,66.513,67.222,68.742,68.6,68.32,68.979,73.044,77.358,80.899,83.377,87.01,87.575,89.555,93.9,96.516,96.398,97.326,99.155,99.359,100,104.925,110.684,110.895,123.448,161.612,161.99,161.154
"336213/US",74.845,75.854,77.196,78.212,79.379,80.987,82.521,85.642,88.676,87.307,89.789,91.593,90.081,89.267,90.471,93.166,94.919,95.263,95.926,97.64,100,102.326,103.605,105.808,110.158,114.367,115.72,117.58
"336214/US",65.418,66.065,67.072,68.056,68.788,69.8,71.062,72.747,74.952,78.176,80.932,84.846,86.236,85.824,87.248,90.019,91.962,94.048,96.274,97.481,100,104.419,106.866,109.091,120.813,139.759,143.101,142.901
"336310/US",88.126,86.922,86.174,85.536,85.734,86.54,85.233,86.678,87.774,94.621,96.293,98.872,90.105,93.553,97.498,99.005,99.179,98.887,98.535,99.011,100,100.283,100.368,101.863,105.696,108.744,109.634,109.365
"336320/US",98.262,97.453,96.993,96.283,95.566,95.08,94.625,94.452,94.156,94.429,95.075,95.623,95.704,96.205,97.545,98.263,98.671,99.644,100.848,100.047,100,100.174,100.652,100.9,102.74,109.027,112.633,114.628
"336350/US",88.648,89.089,88.68,88.3,88.311,87.988,86.889,86.529,87.148,88.57,90.838,92.502,95.018,95.207,96.32,98.28,99.393,100.746,101.323,101.166,100,100.829,101.082,102.739,104.621,108.81,112.814,114.544
"336360/US",94.723,94.708,94.186,95.317,95.626,95.044,93.799,92.986,93.639,94.006,94.235,93.822,94.401,93.794,94.411,94.957,95.435,96.694,98.153,98.845,100,100.22,98.87,98.71,102.226,106.136,107.429,107.753
"336370/US",95.61,95.345,94.799,95.015,94.806,94.543,95.944,97.603,99.669,100.676,101.391,105.28,107.27,106.083,106.25,106.405,106.243,105.957,105.772,101.992,100,101.038,103.481,102.31,104.392,113.098,117.265,119.633
"336390/US",93.706,93.382,93.005,93.786,94.386,92.802,92.297,92.963,94.086,94.795,96.433,101.118,100.676,102.336,105.015,105.407,104.158,103.916,103.023,97.988,100,104.639,106.371,107.195,110.75,116.966,119.205,120.714
"3363A0/US",97.513,97.112,96.731,96.266,95.572,95.193,95.008,95.302,96.906,97.892,97.531,99.132,98.876,99.335,101.167,102.313,102.032,101.773,101.114,100.042,100,101.315,102.461,102.305,107.869,115.424,116.344,117.173
"336411/US",66.127,66.292,67.09,69.666,72.642,73.698,75.931,78.735,81.609,84.496,85.878,88.094,89.001,89.912,92.087,93.894,95.321,96.92,98.026,98.482,100,101.855,103.903,105.251,106.227,110.086,114.418,118.827
"336412/US",60.922,61.608,62.271,63.649,65.258,65.735,68.879,72.276,73.94,76.631,79.8,83.185,86.222,88.327,91.027,93.909,95.721,97.662,98.104,99.263,100,101.354,102.902,104.006,105.436,108.566,112.159,116.448
"336413/US",78.065,78.076,78.76,79.843,80.607,80.834,82.536,84.015,85.703,88.273,88.061,91.127,92.582,92.837,94.328,94.69,96.608,98.356,99.157,99.713,100,100.833,102.043,104.388,105.442,107.185,112.103,114.628
"336414/US",78.298,79.699,81.816,83.658,84.187,84.167,85.606,87.19,89.837,91.183,92.763,94.992,94.739,95.07,96.688,97.661,98.91,100.116,100.331,99.707,100,100.474,101.35,101.949,103.321,107.705,110.397,113.676
"33641A/US",67.286,66.756,69.46,71.074,72.276,73.947,75.732,77.994,81.149,80.897,83.563,86.829,87.92,89.285,92.63,92.511,94.03,97.141,98.715,98.04,100,102.501,103.55,105.933,109.939,114.437,117.514,120.543
"336500/US",72.914,72.971,73.132,73.407,73.191,73.067,73.058,74.875,80.767,84.612,87.383,89.393,89.892,90.533,92.141,94.163,96.03,97.179,99.098,99.894,100,99.77,100.835,100.383,101.82,114.411,117.895,119.927
"336611/US",67.355,67.3,67.129,68.603,68.956,69.618,71.044,76.52,80.271,85.717,89.37,92.071,94.518,95.451,97.31,97.949,97.963,99.055,100.017,99.469,100,101.107,101.8,102.646,104.334,109.136,112.479,115.327
"336612/US",60.535,61.416,62.907,65.191,67.677,68.78,70.106,71.291,74.498,77.201,79.538,82.178,83.938,85.199,86.758,88.882,91.208,93.379,95.503,97.602,100,103.418,107.94,110.85,117.632,131.932,139.93,143.072
"336991/US",81.642,82.269,82.949,84.86,86.031,87.071,87.786,88.549,89.868,90.564,91.158,92.706,93.601,94.049,94.644,96.378,97.127,97.352,98.379,99.465,100,100.54,103.014,104.788,105.673,108.007,110.359,112.472
"336992/US",68.647,70.494,75.363,80.472,80.627,82.794,83.661,86.16,87.366,87.795,89.4,90.879,92.46,93.164,94.821,96.45,97.229,98.349,99.515,99.336,100,101.545,102.263,103.555,106.091,111.389,114.039,115.64
"336999/US",83.213,84.754,84.83,86.71,88.235,88.435,88.544,90.104,92.383,93.871,95.661,94.847,94.195,94.875,95.312,96.326,97.106,96.05,96.437,97.526,100,101.682,104.3,104.862,108.993,118.788,121.935,121.651
"337110/US",70.352,71.604,72.694,74.257,75.502,76.492,77.744,78.907,80.386,82.587,84.346,86.241,87.661,87.77,89.055,91.016,93.801,96.355,98.047,99.068,100,101.039,103.219,104.053,107.822,118.67,122.269,124.561
"337121/US",72.558,73.591,74.601,75.898,76.92,77.927,78.633,79.106,80.825,84.168,85.815,89.013,90.983,90.623,91.964,93.912,95.391,97.286,98.121,98.705,100,102.511,104.212,105.327,114.248,130.835,135.304,136.273
"337122/US",67.924,69.091,70.523,71.73,72.872,74.205,74.748,75.678,78.105,80.352,81.744,84.33,87.384,88.284,89.834,91.973,93.873,95.503,97.085,98.441,100,101.387,103.478,105.071,111.094,121.357,126.121,125.849
"337127/US",65.024,65.676,66.299,66.901,67.835,68.277,68.855,71.2,74.059,76.547,79.551,83.35,85.798,85.753,88.011,90.427,92.209,94.342,96.961,98.324,100,101.276,105.567,108.685,115.873,135.601,145.115,148.324
"33712N/US",75.027,75.359,76.035,76.691,77.392,78.432,78.029,78.632,81.503,84.389,86.61,91.121,94.985,93.991,95.46,97.476,99.579,101.37,99.877,99.9,100,100.912,102.863,104.537,110.124,123.094,125.505,124.77
"337215/US",72.701,73.483,74.806,75.642,76.112,75.884,76.293,78.112,81.15,81.876,83.172,87.952,90.403,90.927,93.252,95.269,95.839,97.368,98.318,98.522,100,105.155,108.73,109.52,129.393,147.418,148.302,150.946
"33721A/US",70.975,70.65,70.96,71.589,72.333,73.051,74.043,75.574,79.608,81.746,84.187,87.4,90.098,90.688,92.577,94.308,94.278,97.575,98.178,98.516,100,102.501,105.506,107.769,112.802,125.841,132.295,137.413
"337900/US",68.319,69.219,69.594,70.526,71.34,71.422,71.252,74.372,79.726,83.462,83.573,86.285,89.28,88.628,90.536,95.169,95.595,94.42,95.712,96.047,100,102.794,104.282,105.672,114.197,130.079,136.955,136.562
"339112/US",89.916,89.453,89.207,89.076,89.968,91.284,93.643,94.629,95.179,94.803,95.257,96.246,96.833,97.259,97.252,97.358,97.858,97.68,98.859,99.727,100,100.76,100.755,102.218,102.431,104.902,107.492,110.004
"339113/US",77.409,78.343,79.405,80.948,82.106,83.502,85.152,87.451,88.349,89.94,91.118,93.465,94.752,95.361,96.577,96.92,98.238,99.133,100.147,99.594,100,101.408,102.683,103.425,105.862,110.575,114.431,117.258
"339114/US",50.329,52.351,54.924,56.409,57.837,58.271,60.292,61.545,63.967,69.415,71.455,73.87,75.124,78.892,87.19,88.574,92.001,95.226,96.808,95.764,100,102.98,108.729,112.161,115.687,119.264,125.523,129.162
"339115/US",78.211,77.899,77.839,77.163,77.01,77.428,77.797,78.281,78.965,80.947,81.626,82.733,83.595,85.668,88.506,98.224,99.708,99.939,98.821,98.794,100,102.514,103.708,105.832,108.244,113.704,119.042,124.4
"339116/US",35.168,36.267,38.419,40.049,41.214,41.462,42.11,43.831,50.841,54.676,58.745,64.871,64.208,74.324,87.923,86.003,89.808,91.397,91.673,90.86,100,102.733,110.886,118.346,122.326,122.781,127.036,130.995
"339910/US",64.822,64.488,64.085,64.411,64.744,65.33,66.041,67.914,69.824,73.221,75.487,79.323,81.214,85.928,94.075,99.438,99.483,94.617,93.965,97.542,100,99.851,102.33,107.172,111.031,117.884,124.305,130.215
"339920/US",96.321,97.528,97.598,96.951,96.809,96.212,95.239,94.838,95.749,97.727,100.924,98.587,97.747,97.802,97.379,97.001,97.854,99.563,101.122,101.725,100,101.245,104.505,104.306,109.287,120.215,123.109,127.612
"339930/US",81.588,81.261,81.213,81.406,82.284,82.997,83.013,83.379,84.908,85.689,86.782,89.435,94.35,93.329,95.918,97.992,98.336,98.976,100.76,100.413,100,102.256,103.009,104.67,111.663,121.28,125.049,125.729
"339940/US",82.588,82.955,83.017,83.504,84.701,85.439,85.257,85.531,86.993,87.469,88.801,89.973,91.671,91.263,92.932,94.224,95.886,96.663,97.802,99.411,100,101.27,102.888,103.2,105.556,115.272,120.632,122.205
"339950/US",80.138,81.507,83.675,84.463,84.394,82.331,82.365,83.372,87.351,90.923,93.029,94.342,93.829,93.864,94.778,95.572,96.89,98.029,98.103,98.059,100,102.482,103.494,104.961,108.096,119.996,127.237,134.681
"339990/US",71.909,72.667,73.714,74.789,75.969,76.85,77.55,78.953,80.553,83.003,85.563,90.922,92.436,92.102,94.24,95.892,96.209,97.394,98.782,99.149,100,101.434,106.737,108.486,111.815,122.417,127.745,131.532
"311111/US",61.005,60.857,60.459,60.276,62.062,62.045,62.357,65.981,66.893,67.912,71.85,81.664,87.052,87.281,89.876,92.346,95.412,97.007,98.107,100.027,100,102.012,105.796,106.624,110.117,124.298,138.101,140.441
"311119/US",67.335,56.319,51.011,52.372,54.024,55.618,59.284,65.158,60.121,63.237,78.588,102.479,93.153,92.118,114.768,124.37,124.816,114.21,105.572,101.379,100,104.96,105.746,107.353,128.128,148.133,141.76,128.941
"311210/US",67.958,62.044,58.099,56.203,56.98,57.663,62.79,67.979,66.281,72.129,86.153,119.16,97.404,94.506,112.253,115.652,116.816,114.909,106.198,100.229,100,103.193,103.541,105.039,119.858,142.526,143.533,134.015
"311221/US",66.65,58.986,55.765,57.08,61.972,62.009,66.053,70.987,70.039,76.987,91.016,109.806,100.008,96.772,120.272,122.696,127.761,109.628,97.917,99.912,100,99.059,100.353,101.005,117.786,135.7,154.988,141.733
"311225/US",56.438,55.282,51.733,49.803,50.471,52.967,60.714,71.948,66.358,68.475,79.155,109.202,87.299,89.218,114.192,113.459,107.104,99.464,95.057,95.279,100,96.46,91.633,95.483,129.188,157.525,145.248,136.469
"311224/US",73.327,60.598,50.932,52.28,52.209,54.93,65.492,76.421,69.435,70.652,84.74,119.403,103.779,102.271,124.801,137.064,136.386,127.274,102.685,99.735,100,101.681,93.625,95.423,125.52,141.84,135.095,127.906
"311230/US",71.771,72.09,73.094,73.401,74.295,75.14,76.502,77.968,80.127,80.867,82.722,85.977,88.467,89.568,92.64,95.686,97.664,97.995,98.374,99.502,100,100.952,103.993,104.429,105.762,115.643,127.921,133.848
"311300/US",65.981,65.67,66.057,64.698,65.931,68.121,70.709,71.221,74.139,77.77,77.847,82.952,90.361,95.613,103.019,103.864,98.365,97.408,100.511,100.268,100,101.228,103.196,106.604,111.988,120.35,130.441,144.799
"311410/US",73.195,73.071,73.833,73.459,74.105,74.76,75.658,76.865,78.648,81.437,82.954,87.268,91.713,92.79,95.8,98.733,99.186,100.289,100.542,99.104,100,101.631,100.711,100.131,102.716,116.84,129.878,133.913
"311420/US",67.133,67.037,67.817,68.39,69.381,70.434,70.984,71.847,73.85,76.151,80.232,86.185,91.29,90.139,92.563,96.459,97.7,98.304,100.006,98.902,100,101.026,102.021,104.601,107.6,125.538,138.823,141.78
"311513/US",72.003,78.712,77.768,72.109,78.78,73.608,76.9,86.711,83.987,77.331,93.82,101.34,80.824,89.245,102.139,101.309,104.678,118.256,100.101,97.378,100,97.358,102.784,107.249,104.673,120.414,112.46,115.713
"311514/US",71.079,72.991,73.442,73.776,77.524,73.393,72.906,77.978,79.595,80.66,97.979,92.979,81.731,90.452,100.568,101.225,104.81,110.098,95.571,94.307,100,96.678,100.146,100.186,112.162,124.853,110.857,116.008
"31151A/US",62.098,66.67,67.196,65.326,71.449,66.155,67.213,75.288,75.455,73.006,85.429,89.235,78.774,87.582,96.552,94.49,96.713,106.443,96.776,96.143,100,97.555,101.061,96.561,100.416,123.089,121.281,127.238
"311520/US",61.163,64.292,67.527,67.76,70.673,71.424,72.101,74.409,75.478,76.973,79.792,82.628,83.222,84.224,91.048,94.218,95.433,97.643,97.347,97.929,100,101.182,103.282,103.857,105.678,117.703,123.241,125.163
"311615/US",72.987,74.744,70.621,69.921,72.389,68.895,72.714,81.722,80.734,73.32,82.479,85.857,87.433,88.685,87.618,96.98,100.615,104.721,103.479,100.026,100,93.462,94.862,94.278,113.943,132.367,110.035,110.542
"31161A/US",60.422,54.772,55.712,60.361,63.689,60.512,68.24,71.782,73.413,71.865,75.121,79.241,73.787,83.4,96.451,101.044,101.795,117.03,108.907,98.819,100,98.551,100.094,102.8,125.158,124.369,132.319,139.22
"311700/US",60.586,61.708,64.918,68.084,65.073,64.031,65.515,66.567,69.742,71.244,75.947,82.241,84.078,87.409,95.121,94.576,92.431,94.513,93,93.769,100,103.508,107.025,106.438,113.083,125.211,124.336,125.576
"311810/US",53.83,54.301,55.226,56.846,58.907,59.6,61.089,61.738,63.518,65.911,68.834,76.676,80.822,82.159,84.814,86.904,88.27,91.126,93.724,97.432,100,104.622,108.312,110.219,113.515,128.805,139.808,143.587
"3118A0/US",68.228,68.639,68.831,68.967,69.918,70.684,73.498,74.484,75.323,76.764,80.153,89.295,91.435,91.303,95.178,98.255,98.789,98.844,100.076,99.591,100,101.293,103.217,103.607,105.204,116.02,124.809,129.18
"311910/US",61.501,61.904,62.495,63.725,65.317,66.757,68.244,69.914,74.743,74.58,75.429,81.809,86.716,90.724,94.344,100.399,100.325,101.624,100.594,100.397,100,102.734,104.249,103.582,104.91,115.444,124.603,131.715
"311920/US",78.756,74.893,70.802,70.304,66.608,66.203,68.824,70.191,78.989,80.572,85.385,92.38,93.252,97.804,112.918,109.786,101.191,102.147,105.146,101.155,100,100.223,100.488,100.729,102.379,116.219,127.398,136.913
"311930/US",74.556,75.252,76.668,78.899,80.913,82.101,82.922,83.879,85.739,87.952,89.635,92.193,93.832,92.17,93.752,95.992,95.567,96.208,97.32,98.315,100,103.292,108.806,114.773,119.955,131.277,138.3,139.21
"311940/US",62.837,63.733,64.189,64.34,65.445,66.523,69.024,72.139,71.831,71.984,75.098,81.878,81.088,80.906,84.009,87.542,89.281,90.883,92.193,94.472,100,101.892,105.022,105.817,109.24,118.322,125.142,128.047
"311990/US",76.083,74.694,74.179,73.759,75.072,76.1,78.743,81.656,82.181,83.706,88.413,96.758,91.637,93.411,97.887,100.416,103.805,108.159,117.741,98.247,100,106.801,98.491,99.871,101.224,125.029,124.285,123.425
"312110/US",68.471,69.246,70.752,73.727,75.62,76.972,77.86,79.535,80.914,82.912,84.545,88.285,91.275,91.486,92.971,95.639,95.648,96.288,97.177,101.179,100,101.187,104.969,107.337,112.268,126.709,139.9,145.44
"312120/US",66.057,66.421,67.865,69.715,72.4,73.344,74.052,76.758,79.471,79.399,78.297,83.016,84.756,87.453,90.036,93.656,95.105,98.666,99,99.036,100,99.094,99.265,100.544,100.006,105.466,107.323,106.965
"312130/US",82.084,81.359,82.457,82.91,83.011,82.803,82.595,82.245,84.85,89.093,90.559,92.674,94.056,93.994,94.44,95.54,96.376,96.404,96.735,97.668,100,99.831,100.197,102.848,103.972,109.646,116.665,117.469
"312140/US",109.679,109.093,114.594,107.775,112.402,110.117,104.958,106.042,102.539,102.517,103.781,106.099,105.211,105.915,103.014,103.496,104.019,106.256,107.2,109.278,100,97.846,97.08,96.554,95.521,97.951,97.163,94.051
"312200/US",28.094,31.738,41.588,44.729,49.383,53.358,51.542,51.537,54.612,54.551,57.645,60.492,73.261,78.6,83.385,88.29,90.456,95.566,95.352,95.8,100,104.856,109.559,113.552,123.369,132.754,141.893,144.42
"313100/US",89.222,87.815,82.565,82.411,81.574,79.038,80.376,83.791,85.674,87.858,89.171,93.53,90.681,96.016,115.956,106.881,105.671,105.296,99.336,97.266,100,104.926,104.735,100.811,117.251,139.545,130.783,130.674
"313200/US",82.531,81.953,78.818,78.395,78.404,77.031,76.611,77.767,80.117,82.424,83.275,86.604,87.102,89.769,97.658,98.285,99.042,101.271,101.321,100.333,100,102.457,104.987,104.634,113.349,125.962,127.115,125.755
"313300/US",78.484,78.616,78.319,78.852,78.536,77.941,76.725,76.673,79.18,82.198,84.239,86.808,86.935,88.791,96.132,97.381,97.961,98.17,97.949,98.692,100,102.672,105.867,110.644,123.912,142.772,143.001,142.615
"314110/US",68.303,68.553,68.04,69.407,69.899,69.949,71.532,73.356,78.402,82.859,83.746,85.5,89.388,90.18,93.884,95.917,96.623,98.946,99.655,99.626,100,104.407,105.889,104.402,108.184,110.961,113.514,114.067
"314120/US",71.421,71.687,71.803,71.511,71.824,71.722,71.634,71.829,71.958,72.472,73.758,75.206,77.602,79.282,87.763,91.452,92.156,97.265,98.638,98.877,100,100.053,101.359,101.834,104.035,109.289,109.873,112.57
"314900/US",77.256,78.145,77.648,78.344,79.417,79.551,79.25,80.506,83.237,85.334,86.527,89.742,90.915,91.828,94.589,97.103,99.541,100.569,100.478,100.046,100,102.252,103.314,103.204,109.593,121.994,125.665,126.923
"315000/US",81.672,82.46,82.614,82.943,82.734,82.267,82.697,83.192,83.754,84.476,85.462,86.659,88.401,88.991,90.377,92.727,94.648,95.663,97.911,98.487,100,101.585,103.353,103.542,104.891,109.921,113.626,119.502
"316000/US",80.28,80.149,80.26,81.088,82.918,83.073,84.471,84.787,85.267,86.504,88.446,90.675,91.65,92.21,95.533,98.081,101.912,105.363,103.22,100.341,100,97.962,95.402,93.995,98.86,101.212,104.077,105.563
"322110/US",65.429,62.231,60.822,74.588,64,58.805,61.29,66.535,69.594,73.406,81.731,88.065,82.305,95.658,101.999,100.156,97.389,100.274,103.225,95.625,100,123.757,97.376,76.524,105.374,132.653,126.257,129.559
"322120/US",77.795,77.521,75.939,80.568,80.104,78.064,78.769,80.329,85.537,89.692,91.203,98.254,98.675,100.069,102.964,103.377,102.584,102.286,101.605,100.726,100,102.384,104.082,102.611,106.09,120.418,126.377,125.205
"322130/US",57.696,59.837,60.013,68.721,67.015,64.193,63.744,66.711,69.152,75.08,78.714,85.663,81.823,89.019,91.627,90.657,95.664,97.469,95.377,91.383,100,106.302,103.558,99.103,114.932,135.306,132.653,131.212
"322210/US",48.278,52.216,54.037,60.294,60.86,59.659,59.787,61.925,64.555,69.663,71.997,76.359,77.288,81.065,84.272,84.586,90.737,93.044,93.843,93.719,100,103.456,104.286,102.36,113.012,130.273,128.093,127.996
"322220/US",74.366,74.334,74.496,76.607,77.195,76.79,77.011,78.422,82.082,85.493,87.182,91.051,92.506,94.673,99.316,100.122,99.984,101.129,100.907,99.893,100,104.295,106.582,106.715,112.343,126.471,132.834,133.394
"322230/US",68.145,67.948,67.366,69.798,70.976,69.97,71.565,72.33,76.465,80.235,83.855,88.342,90.591,91.225,93.109,94.722,96.762,98.508,98.076,99.119,100,106.468,109.898,109.503,115.426,141.625,149.855,150.489
"322291/US",82.633,82.883,83.638,84.434,85.646,86.683,87.26,85.658,88.097,89.408,88.766,94.723,98.723,98.916,100.223,101.458,101.332,100.198,99.8,100.321,100,99.261,100.026,100.556,102.778,113.573,119.195,119.161
"322299/US",68.866,69.415,69.477,72.909,74.206,73.406,74.563,76.121,78.379,80.534,82.908,85.322,86.871,88.947,92.839,93.431,93.455,96.928,99.146,99.616,100,100.003,102.071,102.608,110.498,130.019,135.499,134.575
"323110/US",83.018,84.375,85.776,87.334,86.791,84.189,84.832,85.799,89.243,93.067,94.415,96.049,95.845,96.089,97.73,97.898,98.376,98.924,99.304,99.448,100,101.027,103.859,104.716,109.186,124.635,131.479,134.219
"323120/US",93.819,94.795,95.56,97.392,97.325,96.493,95.866,96.183,96.069,96.825,97.574,98.203,98.263,98.044,97.585,97.711,98.755,98.263,98.938,99.247,100,100.504,102.008,103.09,105.112,113.908,117.819,119.843
"324110/US",39.613,30.156,35.187,52.99,48.679,45.904,56.551,69.777,95.224,111.571,122.952,155.562,99.563,130.077,171.718,173.547,166.986,158.025,100.931,81.373,100,122.616,108.395,79.929,133.19,194.454,159.171,143.055
"324121/US",39.274,39.057,39.247,44.896,46.321,46.85,49.003,49.819,54,68.422,74.538,90.283,90.966,94.553,100.06,106.568,106.905,108.861,105.771,100.141,100,106.592,109.613,106.805,111.27,129.583,135.328,138.268
