MetaSources,ActivityProducedBy,IPCC/UNFCCC Category,US GHGI Table Name,Activity Category,Activity Subcategory,Activity Type,IPCC Category Code
EPA_GHGI_T_2_1.direct,Zinc Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Metals Production Processes,2C6
EPA_GHGI_T_2_1.electric_power,,Energy,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Electric Power Generation,Electric Power Generation,Electric Power Generation,1A1a
EPA_GHGI_T_2_1.electricity_transmission,Electrical Equipment,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Electric Power,Electricity Transmission,2G1b
EPA_GHGI_T_2_1.lead,Lead Production,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Metals Production Processes,2C5
EPA_GHGI_T_2_1.liming,,Agriculture,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Liming,3C2
EPA_GHGI_T_2_1.nitrous_oxide_use,,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Nitrous Oxide Use,2G3
EPA_GHGI_T_2_1.urea,,Industrial Processes and Product Use,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Urea Consumption,2G4
EPA_GHGI_T_2_1.urea_fertilizer,,Agriculture,Table 2-1:  Recent Trends in U.S. Greenhouse Gas Emissions and Sinks (MMT CO2 Eq.),Process & Fugitive Gases,Agricultural Processes,Urea Consumption,3C3
EPA_GHGI_T_3_13.direct_ng,Buses,Energy,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,Fuel Combustion,Mobile Combustion,Buses,1A3b
EPA_GHGI_T_3_13.direct_ng,Pipeline Natural Gas,Energy,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,Fuel Combustion,Stationary Combustion,Pipelines,1A3ei
EPA_GHGI_T_3_13.direct_petroleum,Buses,Energy,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,Fuel Combustion,Mobile Combustion,Buses,1A3b
EPA_GHGI_T_3_13.direct_petroleum,Commercial Aircraft,Energy,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,Fuel Combustion,Mobile Combustion,Commercial Aircraft,1A3aii
EPA_GHGI_T_3_13.direct_petroleum,General Aviation Aircraft,Energy,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,Fuel Combustion,Mobile Combustion,General Aviation Aircraft,1A3aii
EPA_GHGI_T_3_13.direct_petroleum,Medium- and Heavy-Duty Trucks,Energy,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,Fuel Combustion,Mobile Combustion,Medium- and Heavy-Duty Trucks,1A3biii
EPA_GHGI_T_3_13.direct_petroleum,Light-Duty Trucks - Households,Energy,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,Fuel Combustion,Mobile Combustion,Light-Duty Trucks - Households,1A3bii
EPA_GHGI_T_3_13.direct_petroleum,Military Aircraft,Energy,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,Fuel Combustion,Mobile Combustion,Military Aircraft,1A5b
EPA_GHGI_T_3_13.direct_petroleum,Motorcycles,Energy,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,Fuel Combustion,Mobile Combustion,Motorcycles,1A3biv
EPA_GHGI_T_3_13.direct_petroleum,Rail,Energy,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,Fuel Combustion,Mobile Combustion,Rail,1A3c
EPA_GHGI_T_3_13.direct_petroleum,Recreational Boats,Energy,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,Fuel Combustion,Mobile Combustion,Recreational Boats,1A3dii
EPA_GHGI_T_3_13.direct_petroleum,Ships and Non-Recreational Boats,Energy,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,Fuel Combustion,Mobile Combustion,Ships and Non-Recreational Boats,1A3dii
EPA_GHGI_T_3_13.petroleum_fuels,,Energy,Table 3-13:  CO2 Emissions from Fossil Fuel Combustion in Transportation End-Use Sector,Fuel Combustion,Mobile Combustion,Petroleum Fuels,1A3b
EPA_GHGI_T_3_14.construction_and_mining,,Energy,Table 3-14:  CH4 Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Construction And Mining,1A3eii
EPA_GHGI_T_3_14.direct_non_road,Rail,Energy,Table 3-14:  CH4 Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Rail,1A3c
EPA_GHGI_T_3_14.direct_non_road,Ships and Boats,Energy,Table 3-14:  CH4 Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Ships and Boats,1A3dii
EPA_GHGI_T_3_14.farm_non_road,,Energy,Table 3-14:  CH4 Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Other Non-Road Vehicles,1A3eii
EPA_GHGI_T_3_14.other_non_road,,Energy,Table 3-14:  CH4 Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Other Non-Road Vehicles,1A3eii
EPA_GHGI_T_3_14.petroleum_fuels_diesel,,Energy,Table 3-14:  CH4 Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Petroleum Fuels,1A3b
EPA_GHGI_T_3_14.petroleum_fuels_gasoline,,Energy,Table 3-14:  CH4 Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Petroleum Fuels,1A3b
EPA_GHGI_T_3_15.alt_fuel_on_road,,Energy,Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Alternative Fuel On Road,1A3b
EPA_GHGI_T_3_15.construction_and_mining,,Energy,Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Construction And Mining,1A3eii
EPA_GHGI_T_3_15.direct_gasoline,Motorcycles,Energy,Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Motorcycles,1A3biv
EPA_GHGI_T_3_15.direct_gasoline,Medium- and Heavy-Duty Trucks and Buses,Energy,Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Medium- and Heavy-Duty Trucks and Buses,1A3biii
EPA_GHGI_T_3_15.direct_non_road,General Aviation Aircraft,Energy,Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Aircraft,1A3aii
EPA_GHGI_T_3_15.direct_non_road,Ships and Boats,Energy,Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Ships and Boats,1A3dii
EPA_GHGI_T_3_15.direct_non_road,Rail,Energy,Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Rail,1A3c
EPA_GHGI_T_3_15.farm_non_road,,Energy,Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Other Non-Road Vehicles,1A3eii
EPA_GHGI_T_3_15.other_non_road,,Energy,Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Other Non-Road Vehicles,1A3eii
EPA_GHGI_T_3_15.petroleum_fuels_diesel,,Energy,Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Petroleum Fuels,1A3b
EPA_GHGI_T_3_15.petroleum_fuels_gasoline,,Energy,Table 3-15:  N2O Emissions from Mobile Combustion (MMT CO2 Eq.),Fuel Combustion,Mobile Combustion,Petroleum Fuels,1A3b
EPA_GHGI_T_3_25.coal,Industry Industrial Coking Coal,Energy,"Table 3-25: 2023 Adjusted Non-Energy Use Fossil Fuel Consumption, Storage, and Emissions",Process & Fugitive Gases,Non-Energy Uses of Fossil Fuels,Coal,2D4
EPA_GHGI_T_3_25.coal,Industry Industrial Other Coal,Energy,"Table 3-25: 2023 Adjusted Non-Energy Use Fossil Fuel Consumption, Storage, and Emissions",Process & Fugitive Gases,Non-Energy Uses of Fossil Fuels,Coal,2D4
EPA_GHGI_T_3_25.natural_gas_neu,,Energy,"Table 3-25: 2023 Adjusted Non-Energy Use Fossil Fuel Consumption, Storage, and Emissions",Process & Fugitive Gases,Non-Energy Uses of Fossil Fuels,Consumed Natural Gas,2D4
EPA_GHGI_T_3_25.petroleum_neu,,Energy,"Table 3-25: 2023 Adjusted Non-Energy Use Fossil Fuel Consumption, Storage, and Emissions",Process & Fugitive Gases,Non-Energy Uses of Fossil Fuels,Consumed Petroleum Products,2D4
EPA_GHGI_T_3_25.transportation_lubricants,,Energy,"Table 3-25: 2023 Adjusted Non-Energy Use Fossil Fuel Consumption, Storage, and Emissions",Process & Fugitive Gases,Non-Energy Uses of Fossil Fuels,Transportation Lubricants,2D1
EPA_GHGI_T_3_45,Crude Oil Transportation,Energy,Table 3-45:  CH4 Emissions from Petroleum Systems (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Petroleum Systems,1B2aiii
EPA_GHGI_T_3_45,Exploration,Energy,Table 3-45:  CH4 Emissions from Petroleum Systems (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Petroleum Systems,1B2ai
EPA_GHGI_T_3_45,Production,Energy,Table 3-45:  CH4 Emissions from Petroleum Systems (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Petroleum Systems,1B2aii
EPA_GHGI_T_3_45,Refining,Energy,Table 3-45:  CH4 Emissions from Petroleum Systems (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Petroleum Systems,1B2aiv
EPA_GHGI_T_3_47,Crude Refining,Energy,Table 3-47:  CO2 Emissions from Petroleum Systems (MMT CO2),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Petroleum Systems,1B2aiii
EPA_GHGI_T_3_47,Exploration,Energy,Table 3-47:  CO2 Emissions from Petroleum Systems (MMT CO2),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Petroleum Systems,1B2ai
EPA_GHGI_T_3_47,Production,Energy,Table 3-47:  CO2 Emissions from Petroleum Systems (MMT CO2),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Petroleum Systems,1B2aii
EPA_GHGI_T_3_49,Crude Refining,Energy,Table 3-49:  N2O Emissions from Petroleum Systems (Metric Tons CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Petroleum Systems,1B2aiii
EPA_GHGI_T_3_49,Exploration,Energy,Table 3-49:  N2O Emissions from Petroleum Systems (Metric Tons CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Petroleum Systems,1B2ai
EPA_GHGI_T_3_49,Production,Energy,Table 3-49:  N2O Emissions from Petroleum Systems (Metric Tons CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Petroleum Systems,1B2aii
EPA_GHGI_T_3_64,Distribution,Energy,Table 3-64:  CH4 Emissions from Natural Gas Systems (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Natural Gas Systems,1B2bv
EPA_GHGI_T_3_64,Exploration,Energy,Table 3-64:  CH4 Emissions from Natural Gas Systems (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Natural Gas Systems,1B2bi
EPA_GHGI_T_3_64,Post-Meter,Energy,Table 3-64:  CH4 Emissions from Natural Gas Systems (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Natural Gas Systems,1B2bvi
EPA_GHGI_T_3_64,Processing,Energy,Table 3-64:  CH4 Emissions from Natural Gas Systems (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Natural Gas Systems,1B2biii
EPA_GHGI_T_3_64,Production,Energy,Table 3-64:  CH4 Emissions from Natural Gas Systems (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Natural Gas Systems,1B2bii
EPA_GHGI_T_3_64,Transmission and Storage,Energy,Table 3-64:  CH4 Emissions from Natural Gas Systems (MMT CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Natural Gas Systems,1B2biv
EPA_GHGI_T_3_66,Processing,Energy,Table 3-66:  CO2 Emissions from Natural Gas Systems (MMT),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Natural Gas Systems,1B2biii
EPA_GHGI_T_3_66,Production,Energy,Table 3-66:  CO2 Emissions from Natural Gas Systems (MMT),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Natural Gas Systems,1B2bii
EPA_GHGI_T_3_66,Transmission and Storage,Energy,Table 3-66:  CO2 Emissions from Natural Gas Systems (MMT),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Natural Gas Systems,1B2biv
EPA_GHGI_T_3_68,Exploration,Energy,Table 3-68: N2O Emissions from Natural Gas Systems (Metric Tons CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Natural Gas Systems,1B2bi
EPA_GHGI_T_3_68,Processing,Energy,Table 3-68: N2O Emissions from Natural Gas Systems (Metric Tons CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Natural Gas Systems,1B2biii
EPA_GHGI_T_3_68,Production,Energy,Table 3-68: N2O Emissions from Natural Gas Systems (Metric Tons CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Natural Gas Systems,1B2bii
EPA_GHGI_T_3_68,Transmission and Storage,Energy,Table 3-68: N2O Emissions from Natural Gas Systems (Metric Tons CO2 Eq.),Process & Fugitive Gases,Fossil Fuels Production & Distribution,Natural Gas Systems,1B2biv
EPA_GHGI_T_3_8.coal_manufacturing,,Energy,Table 3-8:  CH4 Emissions from Stationary Combustion (MMT CO2 Eq.),Fuel Combustion,Stationary Combustion,Coal Combustion for Manufacturing Purposes,1A2
EPA_GHGI_T_3_8.electric_power,,Energy,Table 3-8:  CH4 Emissions from Stationary Combustion (MMT CO2 Eq.),Electric Power Generation,Stationary Combustion,Electric Power Generation,1A1a
EPA_GHGI_T_3_8.fuel_oil,,Energy,Table 3-8:  CH4 Emissions from Stationary Combustion (MMT CO2 Eq.),Fuel Combustion,Stationary Combustion,Fuel Oil Combustion,1A4
EPA_GHGI_T_3_8.natural_gas_nonmanufacturing,,Energy,Table 3-8:  CH4 Emissions from Stationary Combustion (MMT CO2 Eq.),Fuel Combustion,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,1A2
EPA_GHGI_T_3_8.ng_manufacturing,,Energy,Table 3-8:  CH4 Emissions from Stationary Combustion (MMT CO2 Eq.),Fuel Combustion,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,1A2
EPA_GHGI_T_3_8.residential,Fuel Oil Residential,Energy,Table 3-8:  CH4 Emissions from Stationary Combustion (MMT CO2 Eq.),Fuel Combustion,Stationary Combustion,Residential,1A4b
EPA_GHGI_T_3_8.residential,Natural Gas Residential,Energy,Table 3-8:  CH4 Emissions from Stationary Combustion (MMT CO2 Eq.),Fuel Combustion,Stationary Combustion,Residential,1A4b
EPA_GHGI_T_3_8.residential,Wood Residential,Energy,Table 3-8:  CH4 Emissions from Stationary Combustion (MMT CO2 Eq.),Fuel Combustion,Stationary Combustion,Residential,1A4b
EPA_GHGI_T_3_9.coal_manufacturing,,Energy,Table 3-9:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),Fuel Combustion,Stationary Combustion,Coal Combustion for Manufacturing Purposes,1A2
EPA_GHGI_T_3_9.electric_power,,Energy,Table 3-9:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),Electric Power Generation,Electric Power Generation,Electric Power Generation,1A1a
EPA_GHGI_T_3_9.fuel_oil,,Energy,Table 3-9:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),Fuel Combustion,Stationary Combustion,Fuel Oil,1A4
EPA_GHGI_T_3_9.natural_gas_nonmanufacturing,,Energy,Table 3-9:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),Fuel Combustion,Stationary Combustion,Natural Gas Non-Manufacturing,1A4a;1A4c
EPA_GHGI_T_3_9.ng_manufacturing,,Energy,Table 3-9:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),Fuel Combustion,Stationary Combustion,Natural Gas Manufacturing,1A2
EPA_GHGI_T_3_9.residential,Fuel Oil Residential,Energy,Table 3-9:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),Fuel Combustion,Stationary Combustion,Residential,1A4b
EPA_GHGI_T_3_9.residential,Natural Gas Residential,Energy,Table 3-9:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),Fuel Combustion,Stationary Combustion,Residential,1A4b
EPA_GHGI_T_3_9.residential,Wood Residential,Energy,Table 3-9:  N2O Emissions from Stationary Combustion (MMT CO2 Eq.),Fuel Combustion,Stationary Combustion,Residential,1A4b
EPA_GHGI_T_4_100,Aluminum Production,Industrial Processes and Product Use,Table 4-100:  PFC Emissions from Aluminum Production (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,PFCs from aluminum production,2C3
EPA_GHGI_T_4_106,,Industrial Processes and Product Use,"Table 4-106: SF6, HFC-134a, FK 5-1-12 and CO2 Emissions from Magnesium Production and Processing (MMT CO2 Eq.)",Process & Fugitive Gases,Industrial Production Processes,Magnesium production,2C4
EPA_GHGI_T_4_118,Electronics Industry,Industrial Processes and Product Use,"Table 4-118: PFC, HFC, SF6, NF3, and N2O Emissions from Electronics Industry (MMT CO2 Eq.)",Process & Fugitive Gases,Industrial Production Processes,Electronics Industry,2E
EPA_GHGI_T_4_118,Semiconductors,Industrial Processes and Product Use,"Table 4-118: PFC, HFC, SF6, NF3, and N2O Emissions from Electronics Industry (MMT CO2 Eq.)",Process & Fugitive Gases,Industrial Production Processes,Semiconductors,2E
EPA_GHGI_T_4_124.air_conditioning,,Industrial Processes and Product Use,"Table 4-124:  Emissions of HFCs, PFCs, and CO2 from ODS Substitutes (MMT CO2 Eq.) by Sector",Process & Fugitive Gases,Product Use,Refrigerant Use,2F1a
EPA_GHGI_T_4_124.foams,,Industrial Processes and Product Use,"Table 4-124:  Emissions of HFCs, PFCs, and CO2 from ODS Substitutes (MMT CO2 Eq.) by Sector",Process & Fugitive Gases,Product Use,Foams,2F2
EPA_GHGI_T_4_124.households,Domestic Refrigeration,Industrial Processes and Product Use,"Table 4-124:  Emissions of HFCs, PFCs, and CO2 from ODS Substitutes (MMT CO2 Eq.) by Sector",Process & Fugitive Gases,Product Use,Residential,2F1a
EPA_GHGI_T_4_124.households,Residential Stationary Air Conditioning,Industrial Processes and Product Use,"Table 4-124:  Emissions of HFCs, PFCs, and CO2 from ODS Substitutes (MMT CO2 Eq.) by Sector",Process & Fugitive Gases,Product Use,Residential,2F1a
EPA_GHGI_T_4_124.refrigerants,,Industrial Processes and Product Use,"Table 4-124:  Emissions of HFCs, PFCs, and CO2 from ODS Substitutes (MMT CO2 Eq.) by Sector",Process & Fugitive Gases,Product Use,Refrigerant Use,2F1a
EPA_GHGI_T_4_132,AWACs,Industrial Processes and Product Use,Table 4-132: SF6 and PFC Emissions from Other Product Use (MMT CO2 Eq.),Process & Fugitive Gases,Product Use,SF6 and PFCs from Other Product Use,2G2a
EPA_GHGI_T_4_132,Other Military Applications,Industrial Processes and Product Use,Table 4-132: SF6 and PFC Emissions from Other Product Use (MMT CO2 Eq.),Process & Fugitive Gases,Product Use,SF6 and PFCs from Other Product Use,2G2a
EPA_GHGI_T_4_132,Other Scientific Applications,Industrial Processes and Product Use,Table 4-132: SF6 and PFC Emissions from Other Product Use (MMT CO2 Eq.),Process & Fugitive Gases,Product Use,SF6 and PFCs from Other Product Use,2G2d
EPA_GHGI_T_4_132,Particle Accelerators,Industrial Processes and Product Use,Table 4-132: SF6 and PFC Emissions from Other Product Use (MMT CO2 Eq.),Process & Fugitive Gases,Product Use,SF6 and PFCs from Other Product Use,2G2b
EPA_GHGI_T_4_55,Acrylonitrile,Industrial Processes and Product Use,Table 4-55: CO2 and CH4 Emissions from Petrochemical Production (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Petrochemicals Production,2B8e
EPA_GHGI_T_4_55,Carbon Black,Industrial Processes and Product Use,Table 4-55: CO2 and CH4 Emissions from Petrochemical Production (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Petrochemicals Production,2B8f
EPA_GHGI_T_4_55,Ethylene,Industrial Processes and Product Use,Table 4-55: CO2 and CH4 Emissions from Petrochemical Production (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Petrochemicals Production,2B8b
EPA_GHGI_T_4_55,Ethylene Dichloride,Industrial Processes and Product Use,Table 4-55: CO2 and CH4 Emissions from Petrochemical Production (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Petrochemicals Production,2B8c
EPA_GHGI_T_4_55,Ethylene Oxide,Industrial Processes and Product Use,Table 4-55: CO2 and CH4 Emissions from Petrochemical Production (MMT CO2 Eq.),Process & Fugitive Gases,Industrial Production Processes,Petrochemicals Production,2B8d
