"NAICS_Code","BEA_Code","Location","allocation_factor"
"23829","2334A0","US",0.171316232491419
"2389","2334A0","US",0.171316232491419
"23814","2334A0","US",0.171316232491419
"238990","2334A0","US",0.171316232491419
"311","311111","US",0.0274045742243622
"31111","311111","US",0.365559929555579
"3111","311111","US",0.365559929555579
"31111","311119","US",0.634440070444421
"3111","311119","US",0.634440070444421
"311","311119","US",0.0475614491515552
"311","311210","US",0.0221061623888479
"3112","311210","US",0.185141221808485
"3112","311221","US",0.143351924421535
"311","311221","US",0.0171164524521415
"31122","311221","US",0.196968173642995
"3112","311224","US",0.431267175076017
"311","311224","US",0.0514940006989477
"31122","311224","US",0.592569009238469
"3112","311225","US",0.153173222328818
"311","311225","US",0.0182891313633363
"31122","311225","US",0.210462817118536
"311","311230","US",0.0103958762085971
"3112","311230","US",0.0870664563651442
"311","311300","US",0.0415466159282414
"3114","311410","US",0.537574841245842
"311","311410","US",0.0431444880208131
"311","311420","US",0.037113151865802
"3114","311420","US",0.462425158754158
"311","311513","US",0.0652176445462665
"3115","311513","US",0.404996292567653
"31151","311513","US",0.427769146524718
"3115","311514","US",0.180386175798605
"31151","311514","US",0.190529251458116
"311","311514","US",0.0290480720692735
"3115","31151A","US",0.36138121447044
"31151","31151A","US",0.381701602017166
"311","31151A","US",0.0581941909680426
"3115","311520","US",0.0532363171633018
"311","311520","US",0.00857278763639188
"3116","311615","US",0.291643182866219
"311","311615","US",0.0828835475478585
"31161","311615","US",0.291643182866219
"3116","31161A","US",0.708356817133781
"31161","31161A","US",0.708356817133781
"311","31161A","US",0.20131149768959
"311","311700","US",0.0140449656350716
"3118","311810","US",0.60551730511529
"311","311810","US",0.0508833922261484
"311","3118A0","US",0.0331495359763911
"3118","3118A0","US",0.39448269488471
"311","311910","US",0.0423921484875548
"3119","311910","US",0.301675244378433
"3119","311920","US",0.112908016994232
"311","311920","US",0.0158661126859007
"3119","311930","US",0.0849435252668302
"311","311930","US",0.0119364734205724
"311","311940","US",0.0289917679493651
"3119","311940","US",0.206314116956236
"311","311990","US",0.0413359608589291
"3119","311990","US",0.294159096404269
"312","312110","US",0.257043570171459
"3121","312110","US",0.377893425199736
"3121","312120","US",0.245752400498424
"312","312120","US",0.167161083495785
"3121","312130","US",0.191409514036502
"312","312130","US",0.130196985636152
"3121","312140","US",0.184944660265338
"312","312140","US",0.125799584191292
"312","312200","US",0.319798776505312
"313","313100","US",0.249574813115532
"313","313200","US",0.488312304710675
"313","313300","US",0.262112882173793
"314","314110","US",0.392689912260763
"3141","314110","US",0.726126429051782
"314","314120","US",0.148111106059917
"3141","314120","US",0.273873570948218
"314","314900","US",0.45919898167932
"321","321100","US",0.283846624280258
"321","321200","US",0.226769209466554
"321","321910","US",0.222424794895169
"3219","321910","US",0.454499369274843
"321","3219A0","US",0.266959371358019
"3219","3219A0","US",0.545500630725157
"322","322110","US",0.0351932317171299
"3221","322110","US",0.0964247020585049
"322","322120","US",0.147279122698117
"3221","322120","US",0.40352490614528
"322","322130","US",0.18250913856128
"3221","322130","US",0.500050391796216
"322","322210","US",0.395342207508564
"3222","322210","US",0.622568008862693
"322","322220","US",0.115566590799365
"3222","322220","US",0.181989327115932
"322","322230","US",0.027385796721613
"3222","322230","US",0.0431259820284272
"322","322291","US",0.0639400418419661
"3222","322291","US",0.100690044675505
"32229","322291","US",0.66105723521582
"322","322299","US",0.0327838701519645
"3222","322299","US",0.0516266373174423
"32229","322299","US",0.33894276478418
"323","323110","US",0.964908961929534
"3231","323110","US",0.964908961929534
"323","323120","US",0.0350910380704658
"3231","323120","US",0.0350910380704658
"324","324110","US",0.917794077920932
"3241","324110","US",0.917794077920932
"324","324121","US",0.0251545022024489
"3241","324121","US",0.0251545022024489
"32412","324121","US",0.545326879407195
"324","324122","US",0.0209728814867495
"3241","324122","US",0.0209728814867495
"32412","324122","US",0.454673120592805
"324","324190","US",0.0360785383898693
"3241","324190","US",0.0360785383898693
"325","325110","US",0.0759602513619548
"3251","325110","US",0.261611183249185
"325","325120","US",0.0138316877556073
"3251","325120","US",0.0476370751175536
"3251","325130","US",0.0219433407515647
"325","325130","US",0.00637137013222494
"3251","325180","US",0.142384047382331
"325","325180","US",0.0413419942326875
"325","325190","US",0.152850217327209
"3251","325190","US",0.526424353499365
"325","325211","US",0.116415677967408
"3252","325211","US",0.881854898329222
"32521","325211","US",0.881854898329222
"3252","3252A0","US",0.118145101670778
"32521","3252A0","US",0.118145101670778
"325","3252A0","US",0.0155966045384455
"325","325310","US",0.0304843658986847
"3253","325310","US",0.596918249114902
"325","325320","US",0.0205852168186913
"3253","325320","US",0.403081750885098
"325","325411","US",0.0208482079108953
"3254","325411","US",0.0633850766780148
"32541","325411","US",0.0633850766780148
"325","325412","US",0.229678544755228
"3254","325412","US",0.698294655964019
"32541","325412","US",0.698294655964019
"325","325413","US",0.0278246630169804
"3254","325413","US",0.0845956835431177
"32541","325413","US",0.0845956835431177
"325","325414","US",0.0505620920941385
"3254","325414","US",0.153724583814848
"32541","325414","US",0.153724583814848
"325","325510","US",0.0348175550663282
"3255","325510","US",0.637271308500837
"325","325520","US",0.0198178170301115
"3255","325520","US",0.362728691499163
"325","325610","US",0.0460460419326969
"3256","325610","US",0.523108164884926
"325","325620","US",0.0419778984751653
"3256","325620","US",0.476891835115074
"325","325910","US",0.00469069268360836
"3259","325910","US",0.0853011507995815
"325","3259A0","US",0.0502991010019344
"3259","3259A0","US",0.914698849200418
"326","326110","US",0.165547010365687
"3261","326110","US",0.197582124328312
"326","326120","US",0.0931425695689914
"3261","326120","US",0.111166651213977
"3261","326130","US",0.017015427159379
"326","326130","US",0.0142566191446029
"3261","326140","US",0.0467934324724169
"326","326140","US",0.0392065470340085
"326","326150","US",0.0447761194029851
"3261","326150","US",0.053440776558135
"326","326160","US",0.0552431326058101
"3261","326160","US",0.0659332685664069
"3261","326190","US",0.508068319701373
"326","326190","US",0.425692312368909
"3262","326210","US",0.463586367802683
"326","326210","US",0.0751638953906638
"326","326220","US",0.0234401650944193
"3262","326220","US",0.144571285726189
"326","326290","US",0.0635316290239231
"3262","326290","US",0.391842346471127
"327","327100","US",0.0595941299983848
"327","327200","US",0.192297930270657
"327","327310","US",0.0711426198112555
"3273","327310","US",0.147596309194701
"327","327320","US",0.253870647684534
"3273","327320","US",0.526693713424048
"3273","327330","US",0.10581744635527
"327","327330","US",0.0510048685941069
"3273","327390","US",0.219892531025982
"327","327390","US",0.105989985924918
"327","327400","US",0.0713445164863056
"327","327910","US",0.0225778167470408
"3279","327910","US",0.11592915111664
"3279","327991","US",0.216485990166459
"327","327991","US",0.0421617942269088
"32799","327991","US",0.244874028410614
"3279","327992","US",0.17472306143001
"32799","327992","US",0.19763468239078
"327","327992","US",0.0340282424606013
"3279","327993","US",0.336887625140691
"32799","327993","US",0.381064057893326
"327","327993","US",0.0656106509148804
"3279","327999","US",0.1559741721462
"327","327999","US",0.0303767968804079
"32799","327999","US",0.17642723130528
"331","331110","US",0.425205780373118
"331","331200","US",0.134536332056244
