Row ID,USEEIO Sector Name,USEEIO Sector Code,Activity Category,IPCC/UNFCCC Category,Activity Subcategory,Activity Type,Activity,Fuel Consumed,Gas Category,Gas,Emissions (kg),Emissions Intensity (kg/USD_2022),AR5-100 GWP,Emissions (kgCO2e),Emissions (MTCO2e),Contribution to USEEIO Sector's Scope 1 (%),Attribution Sources
1655,Breweries,312120,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Metals Production Processes,Titanium Dioxide Production,,Carbon dioxide,Carbon dioxide,1213856.6404181998,1.0431189333993881e-05,1.0,1213856.6404181998,1.2138566404181999,0.0007029140118464969,Direct
1656,Breweries,312120,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Chemicals Production,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",,Nitrous oxide,Nitrous oxide,3969.845715708178,3.411458232253006e-08,265.0,1052009.1146626673,1.0520091146626673,0.000609192158830101,Direct
1657,Breweries,312120,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Urea Consumption,Urea Consumption for Non-Agricultural Purposes,,Carbon dioxide,Carbon dioxide,935168.5026198203,8.036302958028155e-06,1.0,935168.5026198203,0.9351685026198203,0.0005415326835486192,Detail_Use_2022
1658,Breweries,312120,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,Natural gas Industrial - Manufacturing,Natural Gas,Methane,Methane,32670.61143436702,9.980350233828596e-07,28.0,914777.1201622766,0.9147771201622765,0.0005297245441250129,EIA_MECS_Energy
1659,Breweries,312120,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Petrochemicals Production,Acrylonitrile,,Carbon dioxide,Carbon dioxide,809237.7602787999,6.954126222662587e-06,1.0,809237.7602787999,0.8092377602787999,0.0004686093412309979,Direct
1660,Breweries,312120,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Carbon dioxide,Carbon dioxide,795052.7823193728,2.448335834631903e-05,1.0,795052.7823193728,0.7950527823193727,0.00046039517537861197,Detail_Use_2022
1661,Breweries,312120,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Manufacturing,Natural gas Industrial - Manufacturing,Natural Gas,Nitrous oxide,Nitrous oxide,2301.3261462678697,7.030183989106413e-08,265.0,609851.4287609855,0.6098514287609855,0.00035314970495446257,EIA_MECS_Energy
1662,Breweries,312120,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Carbonate Use,Other Process Uses of Carbonates,,Carbon dioxide,Carbon dioxide,544433.8701109978,5.4271586546167624e-06,1.0,544433.8701109978,0.5444338701109979,0.00031526803337582847,Detail_Use_2022
1663,Breweries,312120,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-32,729.642166881213,2.2469062474347077e-08,677.0,493967.74697858124,0.49396774697858126,0.0002860443640460426,Detail_Use_2022
1664,Breweries,312120,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,515.8791586308247,1.533260728089449e-08,265.0,136707.97703716854,0.13670797703716855,7.916416930215785e-05,Detail_Use_2022
1665,Breweries,312120,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,3254.951752453912,9.674144827073676e-08,28.0,91138.64906870954,0.09113864906870954,5.277611154236933e-05,Detail_Use_2022
1666,Breweries,312120,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,Coal Industrial - Manufacturing,Coal,Nitrous oxide,Nitrous oxide,325.6636162225693,9.261689587116254e-09,265.0,86300.85829898086,0.08630085829898086,4.9974667940880794e-05,EIA_MECS_Energy
1667,Breweries,312120,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,Coal Industrial - Manufacturing,Coal,Methane,Methane,1541.0867166268456,4.382763712379631e-08,28.0,43150.42806555168,0.04315042806555168,2.4987333342758585e-05,EIA_MECS_Energy
1668,Breweries,312120,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-236fa,3.502061668032507,1.0784470248530615e-10,8060.0,28226.617044342005,0.028226617044342005,1.6345327748635564e-05,Detail_Use_2022
1669,Breweries,312120,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-125,0.019129518016723333,1.6438813090130735e-13,3170.0,60.640572113012965,6.0640572113012966e-05,3.51154381871153e-08,Detail_Use_2022
1670,Breweries,312120,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-134a,0.03129214047711018,2.689067482221073e-13,1300.0,40.67978262024324,4.067978262024324e-05,2.355664437670925e-08,Detail_Use_2022
1671,Breweries,312120,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-143a,0.005228844111433089,4.493369406910052e-14,4800.0,25.09845173487883,2.509845173487883e-05,1.4533885479278078e-08,Detail_Use_2022
1672,Breweries,312120,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Carbon dioxide,Carbon dioxide,14.233708489351441,1.2231634546740893e-10,1.0,14.233708489351441,1.4233708489351441e-05,8.242384483110458e-09,Detail_Use_2022
1673,Breweries,312120,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-32,0.013062672234953627,1.1225313002675673e-13,677.0,8.843429103063606,8.843429103063606e-06,5.1210085460939616e-09,Detail_Use_2022
1674,Breweries,312120,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-236fa,6.269687497865127e-05,5.387810650578447e-16,8060.0,0.5053368123279293,5.053368123279293e-07,2.9262790535525523e-10,Detail_Use_2022
1675,Wineries,312130,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,370445077.3882449,0.016761268749029296,1.0,370445077.3882449,370.44507738824495,0.9240302482395738,EIA_MECS_Energy
1676,Wineries,312130,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,27175132.772770695,0.0012296162614806824,1.0,27175132.772770695,27.175132772770695,0.06778506778657899,Detail_Use_2022
1677,Wineries,312130,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,1309352.5462468916,5.924475287123269e-05,1.0,1309352.5462468916,1.3093525462468916,0.003266020881885325,EIA_MECS_Energy
1678,Wineries,312130,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Petroleum Products,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,1251830.081843898,5.6642493947321295e-05,1.0,1251830.081843898,1.2518300818438979,0.0031225380815836116,EIA_MECS_Energy
1679,Wineries,312130,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Natural Gas,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,275095.9840350847,1.2447055531815606e-05,1.0,275095.9840350847,0.27509598403508473,0.0006861935167550843,EIA_MECS_Energy
1680,Wineries,312130,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,Natural gas Industrial - Manufacturing,Natural Gas,Methane,Methane,7776.360501786938,3.518515326988205e-07,28.0,217738.09405003424,0.21773809405003425,0.0005431212273483681,EIA_MECS_Energy
1681,Wineries,312130,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Manufacturing,Natural gas Industrial - Manufacturing,Natural Gas,Nitrous oxide,Nitrous oxide,547.7688038229311,2.478451110200067e-08,265.0,145158.73301307674,0.14515873301307675,0.0003620808273277155,EIA_MECS_Energy
1682,Wineries,312130,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,124.25000816357336,5.6220454120511855e-09,265.0,32926.25216334694,0.032926252163346936,8.213053652811671e-05,Detail_Use_2022
1683,Wineries,312130,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,783.9583651485599,3.547242849449366e-08,28.0,21950.834224159677,0.021950834224159676,5.4753689643331804e-05,Detail_Use_2022
1684,Wineries,312130,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,Coal Industrial - Manufacturing,Coal,Nitrous oxide,Nitrous oxide,40.83924659893554,1.8478683064668236e-09,265.0,10822.400348717918,0.010822400348717919,2.6995163092133984e-05,EIA_MECS_Energy
1685,Wineries,312130,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,Coal Industrial - Manufacturing,Coal,Methane,Methane,193.25714422962912,8.744376587728908e-09,28.0,5411.200038429615,0.005411200038429615,1.3497581207007755e-05,EIA_MECS_Energy
1686,Wineries,312130,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-125,1.3984380314223046,4.3069944606310774e-11,3170.0,4433.048559608706,0.004433048559608706,1.1057701157411307e-05,Detail_Use_2022
1687,Wineries,312130,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-134a,2.287570407657128,7.045398403576114e-11,1300.0,2973.8415299542667,0.0029738415299542667,7.417886469223717e-06,Detail_Use_2022
1688,Wineries,312130,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-143a,0.3822477105494317,1.1772697359001869e-11,4800.0,1834.789010637272,0.001834789010637272,4.57665831847331e-06,Detail_Use_2022
1689,Wineries,312130,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Carbon dioxide,Carbon dioxide,1040.536372233024,3.204707173713462e-08,1.0,1040.536372233024,0.001040536372233024,2.5954915884308005e-06,Detail_Use_2022
1690,Wineries,312130,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-32,0.9549293207175292,2.9410493723783584e-11,677.0,646.4871501257672,0.0006464871501257672,1.6125836683431746e-06,Detail_Use_2022
1691,Wineries,312130,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-236fa,0.004583371852067896,1.4116147254513218e-13,8060.0,36.94197712766724,3.694197712766724e-05,9.214727466863678e-08,Detail_Use_2022
1692,Distilleries,312140,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,11556522773.20389,0.1237110189822543,1.0,11556522773.20389,11556.52277320389,0.5797647336227777,EIA_MECS_Energy
1693,Distilleries,312140,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Petroleum Products,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,3390157983.406402,0.029210077109550404,1.0,3390157983.406402,3390.1579834064023,0.17007659473021913,EIA_MECS_Energy
1694,Distilleries,312140,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,1440009666.3900719,0.014045913617770606,1.0,1440009666.3900719,1440.009666390072,0.07224204347908791,Detail_Use_2022
1695,Distilleries,312140,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Natural Gas,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,711193994.7062018,0.006129716369739793,1.0,711193994.7062018,711.1939947062018,0.03567900180589085,EIA_MECS_Energy
1696,Distilleries,312140,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,687371028.1193295,0.00599313420255813,1.0,687371028.1193295,687.3710281193295,0.03448385719808827,EIA_MECS_Energy
1697,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Chemicals Production,Adipic Acid Production,,Nitrous oxide,Nitrous oxide,1286506.041254123,1.105549671090096e-05,265.0,340924100.9323426,340.9241009323426,0.017103394718429407,Direct
1698,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Petrochemicals Production,Methanol,,Carbon dioxide,Carbon dioxide,324689611.81832397,0.0027901967191867522,1.0,324689611.81832397,324.68961181832395,0.01628894694366147,Direct
1699,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Chemicals Production,Soda Ash Production,,Carbon dioxide,Carbon dioxide,275986170.04557544,0.0023716672113087396,1.0,275986170.04557544,275.9861700455754,0.013845604902112254,Direct
1700,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Petrochemicals Production,Ethylene Oxide,,Carbon dioxide,Carbon dioxide,275986170.04557544,0.0023716672113087396,1.0,275986170.04557544,275.9861700455754,0.013845604902112254,Direct
1701,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Metals Production Processes,Titanium Dioxide Production,,Carbon dioxide,Carbon dioxide,243517208.863743,0.0020926475393900643,1.0,243517208.863743,243.517208863743,0.012216710207746105,Direct
1702,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Chemicals Production,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",,Nitrous oxide,Nitrous oxide,796408.5017287426,6.843878916272022e-06,265.0,211048252.9581168,211.0482529581168,0.010587815778075346,Direct
1703,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Urea Consumption,Urea Consumption for Non-Agricultural Purposes,,Carbon dioxide,Carbon dioxide,187608335.2782144,0.0016121986738468856,1.0,187608335.2782144,187.60833527821438,0.009411887871686519,Detail_Use_2022
1704,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Petrochemicals Production,Acrylonitrile,,Carbon dioxide,Carbon dioxide,162344805.90916198,0.0013950983595933761,1.0,162344805.90916198,162.34480590916198,0.008144473471830735,Direct
1705,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Carbonate Use,Other Process Uses of Carbonates,,Carbon dioxide,Carbon dioxide,102680119.70423444,0.0008823741896761519,1.0,102680119.70423444,102.68011970423444,0.005151230471047342,Detail_Use_2022
1706,Distilleries,312140,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,Natural gas Industrial - Manufacturing,Natural Gas,Methane,Methane,242593.82218044193,2.5969341755921612e-06,28.0,6792627.021052374,6.792627021052374,0.0003407708073392668,EIA_MECS_Energy
1707,Distilleries,312140,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,Coal Industrial - Manufacturing,Coal,Nitrous oxide,Nitrous oxide,21439.386208697946,1.8692833057097464e-07,265.0,5681437.345304956,5.681437345304956,0.0002850249226119113,EIA_MECS_Energy
1708,Distilleries,312140,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Manufacturing,Natural gas Industrial - Manufacturing,Natural Gas,Nitrous oxide,Nitrous oxide,17088.370293542557,1.8292870124065446e-07,265.0,4528418.127788777,4.528418127788777,0.00022718054393295302,EIA_MECS_Energy
1709,Distilleries,312140,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,Coal Industrial - Manufacturing,Coal,Methane,Methane,101454.23576048666,8.845715420886393e-07,28.0,2840718.6012936262,2.8407186012936263,0.0001425124577260427,EIA_MECS_Energy
1710,Distilleries,312140,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,6584.005101306033,6.42206570347111e-08,265.0,1744761.3518460987,1.7447613518460987,8.7530749537729e-05,Detail_Use_2022
1711,Distilleries,312140,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,41541.93590518322,4.0520175444510444e-07,28.0,1163174.2053451303,1.1631742053451304,5.835383155930445e-05,Detail_Use_2022
1712,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-125,38.68219099040254,3.38843602603307e-10,3170.0,122622.54543957605,0.12262254543957604,6.151697079485216e-06,Detail_Use_2022
1713,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-134a,63.27647948975443,5.542816919466209e-10,1300.0,82259.42333668076,0.08225942333668076,4.12677010158587e-06,Detail_Use_2022
1714,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-143a,10.573352993038021,9.261918541910852e-11,4800.0,50752.0943665825,0.050752094366582505,2.546118330633662e-06,Detail_Use_2022
1715,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Carbon dioxide,Carbon dioxide,28782.274064901732,2.521235014243836e-07,1.0,28782.274064901732,0.028782274064901733,1.443941900498614e-06,Detail_Use_2022
1716,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-32,26.41429762086895,2.3138078627221152e-10,677.0,17882.479489328278,0.01788247948932828,8.971237422457751e-07,Detail_Use_2022
1717,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-125,3.8376581543733557,3.297863806521858e-11,3170.0,12165.376349363538,0.012165376349363538,6.103095470000297e-07,Detail_Use_2022
1718,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-134a,6.277656236022,5.394658528136601e-11,1300.0,8160.9531068286,0.0081609531068286,4.0941664693979034e-07,Detail_Use_2022
1719,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-143a,1.0489817999933833,9.014349305594177e-12,4800.0,5035.11263996824,0.0050351126399682394,2.526002670319287e-07,Detail_Use_2022
1720,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Carbon dioxide,Carbon dioxide,2855.4879115814388,2.4538429049063648e-08,1.0,2855.4879115814388,0.0028554879115814387,1.4325340077723972e-07,Detail_Use_2022
1721,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-32,2.6205610918451625,2.2519602397954444e-11,677.0,1774.119859179175,0.0017741198591791749,8.900359976418206e-08,Detail_Use_2022
1722,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-236fa,0.12678063766715839,1.1105577762682315e-12,8060.0,1021.8519395972966,0.0010218519395972965,5.1264011605309294e-08,Detail_Use_2022
1723,Distilleries,312140,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-236fa,0.01257790046279281,1.0808727882916962e-13,8060.0,101.37787773011006,0.00010137787773011006,5.0858999225720495e-09,Detail_Use_2022
1724,Tobacco manufacturing,312200,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,317805153.2432594,0.005229834809278575,1.0,317805153.2432594,317.8051532432594,0.6393316062353757,EIA_MECS_Energy
1725,Tobacco manufacturing,312200,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,166167169.45674208,0.0027344003891491956,1.0,166167169.45674208,166.16716945674207,0.3342800526303864,Detail_Use_2022
1726,Tobacco manufacturing,312200,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Carbonate Use,Other Process Uses of Carbonates,,Carbon dioxide,Carbon dioxide,4805916.4056883035,7.90836992872849e-05,1.0,4805916.4056883035,4.805916405688303,0.009668107089282434,Detail_Use_2022
1727,Tobacco manufacturing,312200,Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Urea Consumption,Urea Consumption for Non-Agricultural Purposes,,Carbon dioxide,Carbon dioxide,4253234.811236113,6.998905399434118e-05,1.0,4253234.811236113,4.253234811236113,0.008556272344276323,Detail_Use_2022
1728,Tobacco manufacturing,312200,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Natural Gas,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,2950290.122076952,4.8548754484686855e-05,1.0,2950290.122076952,2.950290122076952,0.005935126297854727,EIA_MECS_Energy
1729,Tobacco manufacturing,312200,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil,Fuel Oil,Fuel Oil,Nitrous oxide,Nitrous oxide,759.7487134342731,1.2502211986051174e-08,265.0,201333.40906008237,0.20133340906008237,0.00040502430652752957,Detail_Use_2022
1730,Tobacco manufacturing,312200,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Non-Manufacturing Purposes,Natural gas Industrial - Manufacturing,Natural Gas,Methane,Methane,6671.346420282189,1.0978437378213851e-07,28.0,186797.69976790127,0.18679769976790128,0.00037578268387068324,EIA_MECS_Energy
1731,Tobacco manufacturing,312200,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Transportation Lubricants,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,153574.3095958336,1.6407844774181698e-07,1.0,153574.3095958336,0.1535743095958336,0.0003089468783888439,Detail_Use_2022
1732,Tobacco manufacturing,312200,Fuel Combustion,Energy,Stationary Combustion,Fuel Oil Combustion,Fuel Oil,Fuel Oil,Methane,Methane,4793.6524762520785,7.888300221616282e-08,28.0,134222.2693350582,0.1342222693350582,0.0002700161975688796,Detail_Use_2022
1733,Tobacco manufacturing,312200,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Manufacturing,Natural gas Industrial - Manufacturing,Natural Gas,Nitrous oxide,Nitrous oxide,469.9313319754956,7.733239102183185e-09,265.0,124531.80297350633,0.12453180297350633,0.0002505217955402295,EIA_MECS_Energy
1734,Tobacco manufacturing,312200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-125,39.113997937375146,6.439218670267329e-10,3170.0,123991.37346147922,0.12399137346147922,0.00024943460842430246,Detail_Use_2022
1735,Tobacco manufacturing,312200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-134a,63.98283098443646,1.053329911483834e-09,1300.0,83177.6802797674,0.08317768027976741,0.00016732931921809274,Detail_Use_2022
1736,Tobacco manufacturing,312200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-143a,10.691382689864664,1.7600898567764628e-10,4800.0,51318.63691135039,0.05131863691135039,0.00010323818299204868,Detail_Use_2022
1737,Tobacco manufacturing,312200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Carbon dioxide,Carbon dioxide,29103.56884093905,4.791232135156202e-07,1.0,29103.56884093905,0.02910356884093905,5.8547922286260296e-05,Detail_Use_2022
1738,Tobacco manufacturing,312200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-32,26.70915881978405,4.3970476864792303e-10,677.0,18082.1005209938,0.0180821005209938,3.6375931139630396e-05,Detail_Use_2022
1739,Tobacco manufacturing,312200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Refrigerant Use,Refrigeration,,Fluorinated gases (F-Gases),HFC-236fa,0.12819588221987463,2.110449869029687e-12,8060.0,1033.2588106921896,0.0010332588106921896,2.0786164363768155e-06,Detail_Use_2022
1740,Tobacco manufacturing,312200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-125,0.08795695006544707,2.196900752109246e-13,3170.0,278.8235317074672,0.0002788235317074672,5.609119127351221e-07,Detail_Use_2022
1741,Tobacco manufacturing,312200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-134a,0.14388032332963,3.5936988526931477e-13,1300.0,187.04442032851898,0.000187044420328519,3.7627901393550845e-07,Detail_Use_2022
1742,Tobacco manufacturing,312200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-143a,0.02404206838913891,6.004987449776318e-14,4800.0,115.40192826786677,0.00011540192826786676,2.3215514100138253e-07,Detail_Use_2022
1743,Tobacco manufacturing,312200,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Petroleum Products,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,75.29998143325822,2.8024854454299836e-09,1.0,75.29998143325822,7.529998143325823e-05,1.5148167859433547e-07,EIA_MECS_Energy
1744,Tobacco manufacturing,312200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Carbon dioxide,Carbon dioxide,65.4461647047007,1.6346488635115199e-10,1.0,65.4461647047007,6.544616470470071e-05,1.3165866310095372e-07,Detail_Use_2022
1745,Tobacco manufacturing,312200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-32,0.060061775131327697,1.5001629645053508e-13,677.0,40.66182176390885,4.066182176390885e-05,8.179976805120539e-08,Detail_Use_2022
1746,Tobacco manufacturing,312200,Process & Fugitive Gases,Industrial Processes and Product Use,Product Use,Foams,Foams,,Fluorinated gases (F-Gases),HFC-236fa,0.0002882783506064206,7.200328396935294e-16,8060.0,2.32352350588775,2.32352350588775e-06,4.674254020065592e-09,Detail_Use_2022
1747,"Fiber, yarn, and thread mills",313100,Fuel Combustion,Energy,Stationary Combustion,Natural Gas Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,228927104.18715805,0.031934419922721335,1.0,228927104.18715805,228.92710418715805,0.8884001230812489,EIA_MECS_Energy
1748,"Fiber, yarn, and thread mills",313100,Fuel Combustion,Energy,Stationary Combustion,Petroleum Combustion,,,Carbon dioxide,Carbon dioxide,18502090.497126468,0.0025572761092209975,1.0,18502090.497126468,18.502090497126467,0.0718012816056476,Detail_Use_2022
1749,"Fiber, yarn, and thread mills",313100,Fuel Combustion,Energy,Stationary Combustion,Coal Combustion for Manufacturing Purposes,,,Carbon dioxide,Carbon dioxide,7215478.045747848,0.0010059460067433333,1.0,7215478.045747848,7.215478045747848,0.028001191063386666,EIA_MECS_Energy
1750,"Fiber, yarn, and thread mills",313100,Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Petroleum Products,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide,2039827.2312063007,0.0002664069408614161,1.0,2039827.2312063007,2.0398272312063006,0.007915981682040678,EIA_MECS_Energy
