Activity Category,IPCC/UNFCCC Category,Activity Subcategory,Activity Type,Activity,Fuel Consumed,Gas Category,Gas
Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Dairy Cattle,,Methane,Methane
Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Dairy Cattle,,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Horses,,Methane,Methane
Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Horses,,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Poultry,,Methane,Methane
Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Poultry,,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Sheep,,Methane,Methane
Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Sheep,,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Swine,,Methane,Methane
Process & Fugitive Gases,Agriculture,Agricultural Processes,Manure,Swine,,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Agriculture,Agricultural Processes,Rice Cultivation,Rice Cultivation,,Methane,Methane
Process & Fugitive Gases,Agriculture,Agricultural Processes,Urea Consumption,Urea Fertilization,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Natural Gas Systems,Distribution,Natural Gas,Methane,Methane
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Natural Gas Systems,Exploration,Natural Gas,Methane,Methane
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Natural Gas Systems,Exploration,Natural Gas,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Natural Gas Systems,Post-Meter,Natural Gas,Methane,Methane
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Natural Gas Systems,Processing,Natural Gas,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Natural Gas Systems,Processing,Natural Gas,Methane,Methane
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Natural Gas Systems,Processing,Natural Gas,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Natural Gas Systems,Production,Natural Gas,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Natural Gas Systems,Production,Natural Gas,Methane,Methane
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Natural Gas Systems,Production,Natural Gas,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Natural Gas Systems,Transmission and Storage,Natural Gas,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Natural Gas Systems,Transmission and Storage,Natural Gas,Methane,Methane
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Natural Gas Systems,Transmission and Storage,Natural Gas,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Petroleum Systems,Crude Oil Transportation,Crude Oil,Methane,Methane
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Petroleum Systems,Crude Refining,Crude Oil,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Petroleum Systems,Crude Refining,Crude Oil,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Petroleum Systems,Exploration,Oil,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Petroleum Systems,Exploration,Oil,Methane,Methane
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Petroleum Systems,Exploration,Oil,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Petroleum Systems,Production,Oil,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Petroleum Systems,Production,Oil,Methane,Methane
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Petroleum Systems,Production,Oil,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Energy,Fossil Fuels Production & Distribution,Petroleum Systems,Refining,Oil,Methane,Methane
Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Coal,Industry Industrial Coking Coal,Coal,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Coal,Industry Industrial Other Coal,Coal,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Natural Gas,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Consumed Petroleum Products,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Energy,Non-Energy Uses of Fossil Fuels,Transportation Lubricants,,Aggregated Fossil Fuels,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Electric Power,Electricity Transmission,Electrical Equipment,,Fluorinated gases (F-Gases),Sulfur hexafluoride
Process & Fugitive Gases,Industrial Processes and Product Use,Fossil Fuel Production & Distribution,Coal Production & Distribution,Abandoned Underground Coal Mines,Coal,Methane,Methane
Process & Fugitive Gases,Industrial Processes and Product Use,Fossil Fuel Production & Distribution,Coal Production & Distribution,Coal Mining,Coal,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Fossil Fuel Production & Distribution,Coal Production & Distribution,Coal Mining,Coal,Methane,Methane
Process & Fugitive Gases,Industrial Processes and Product Use,Fossil Fuel Production & Distribution,Oil and Gas,Abandoned Oil and Gas Wells,Oil and Gas,Methane,Methane
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Carbonate Use,Other Process Uses of Carbonates,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Cement Production,Cement Production,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Ceramics Production and Consumption,Carbide Production and Consumption,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Chemicals Production,Adipic Acid Production,,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Chemicals Production,Ammonia Production,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Chemicals Production,"Caprolactam, Glyoxal, and Glyoxylic Acid Production",,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Chemicals Production,Lime Production,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Chemicals Production,Nitric Acid Production,,Nitrous oxide,Nitrous oxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Chemicals Production,Phosphoric Acid Production,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Chemicals Production,Soda Ash Production,,Carbon dioxide,Carbon dioxide
Process & Fugitive Gases,Industrial Processes and Product Use,Industrial Production Processes,Electronics Manufacturing,Electronics Industry | Semiconductors | PV | MEMS,,Fluorinated gases (F-Gases),Carbon tetrafluoride
